Site no,Location,Grid squaresX,Grid squaresY,Site Type,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
1,Colombia Rd/Gossett Street,533883,182815,Roadside,28.045,Missing,30.099,33.97,39.421,38.315,46.373,33.496
2,Calvert Ave/Boundary Street,533507,182569,Roadside,37.762,31.442,39.026,37.762,34.997,41.633,47.558,40.211
3,Bethnal Grn Rd/ Brick Lane,533860,182442,Roadside,44.398,44.24,48.19,45.188,38.789,44.556,49.059,31.995
4,Commercial St/Calvin St,533583,182066,Roadside,Missing,63.516,51.034,Missing,68.493,81.528,62.015,53.246
5,Whitechapel High St (KFC),533985,181426,Roadside,63.832,63.437,75.05,61.857,69.283,57.038,83.029,59.092
6,Mansell St,533801,180726,Roadside,Missing,77.025,74.418,70.073,77.894,82.713,86.268,76.709
7,St Katherine's Way,533984,180373,Background,31.916,27.571,25.28,25.675,34.681,36.34,39.5,26.939
8,Wapping High St/Sampson St,534444,180122,Roadside,29.862,27.729,28.677,28.361,35.708,42.028,36.261,29.072
11,Brick Lane/Princelet St,533866,181860,Roadside,Missing,33.575,35.392,36.34,46.531,47.4,38.947,38.078
12,Buckfast St/Bethnal Green Rd,534259,182580,Roadside,35.313,37.999,34.839,34.918,45.03,41.554,47.242,35.945
14,Warner Place/Hackney Rd,534255,183130,Roadside,34.997,36.024,Missing,35.155,44.398,40.527,44.793,41.554
16,Paradise Row/Bethnal Green Rd,534959,182757,Roadside,35.708,43.134,40.764,46.294,42.423,49.454,57.512,Missing
17,Finnis St/Three Colts Lane,534783,182385,Roadside,27.018,24.885,27.808,28.914,35.313,41.159,39.737,Missing
18,Sidney St/Mile End Rd,534968,181878,Roadside,Missing,33.812,42.976,42.344,42.107,50.007,55.3,42.423
19,Philpot St/Commercial Road,534816,181321,Roadside,47.953,35.471,51.587,41.238,54.747,62.647,59.961,46.689
20,Dellow St/The Highway,534951,180779,Roadside,68.73,58.618,65.57,57.038,57.433,53.641,76.867,70.231
22,Wapping Wall/Garnet St,535132,180337,Roadside,31.679,27.334,26.86,27.966,39.816,Missing,33.575,29.072
23,Brodlove Lane,535598,180816,Roadside,42.976,42.66,43.845,39.263,45.504,43.766,49.138,39.816
24,Jubilee Street/Commercial Rd,535150,181279,Roadside,50.955,Missing,Missing,53.009,66.518,76.314,Missing,Missing
25,Cavell St/Stepney Way,534884,181667,Roadside,36.656,39.895,32.311,36.103,38.157,45.978,55.537,46.136
26,Hannibal Rd/Mile End Rd,535392,182010,Roadside,59.013,43.529,69.283,33.338,Missing,Missing,108.151,Missing
28,Bonner Road,535356,183223,Roadside,Missing,32.864,35.787,33.417,41.554,45.583,37.051,29.704
29,Grove Rd/Old Ford Rd,535930,183385,Roadside,34.839,37.051,37.999,40.764,46.215,50.718,54.352,44.951
30,Fieldgate Street,534232,181584,Roadside,49.533,56.88,44.398,Missing,56.011,53.009,44.714,44.003
31,Whitechapel Market,534516,181744,Roadside,57.433,58.618,48.98,68.809,Missing,Missing,79.474,69.441
32,Globe Rd/Mile End Rd,535295,182820,Roadside,51.745,47.637,Missing,39.5,56.801,61.225,55.063,53.404
33,Stepney Green,535545,181604,Background,23.226,Missing,Missing,Missing,33.575,38.394,41.238,29.309
36,Locksley St/St Paul's Way,536702,181646,Roadside,26.228,15.563,18.565,33.101,44.477,Missing,Missing,28.203
37,Rhodeswell Rd,536574,181338,Roadside,25.833,25.122,22.752,35.787,37.288,45.109,34.918,32.153
38,Ben Johnson Road,536080,181721,Roadside,32.232,Missing,32.39,38.236,Missing,Missing,48.506,34.128
39,Harford St/Mile End Rd,536089,182258,Roadside,32.39,30.889,30.731,41.475,52.061,51.587,43.055,32.864
41,Ford Close/Roman Rd,536457,183301,Roadside,32.864,34.128,30.652,31.521,49.849,54.036,40.132,28.993
42,Victoria Park,536494,184170,Background,15.168,Missing,14.852,21.962,23.7,27.176,Missing,Missing
43,Victoria Park,536494,184170,Background,16.985,Missing,Missing,Missing,Missing,Missing,Missing,Missing
44,Parnell Rd/Old Ford Rd,536874,183741,Roadside,28.124,30.968,30.494,Missing,41.633,45.741,44.951,38.394
45,St Stephen's Rd/Tredegar Rd,536713,183070,Roadside,25.122,34.839,40.527,32.943,50.402,55.774,45.109,36.024
46,Rhondda Grove/Mile End Rd,536542,182589,Roadside,Missing,21.251,37.367,30.652,28.44,37.051,36.498,36.182
47,Wentworth Mews,536452,182454,Roadside,32.627,43.766,45.03,42.502,58.223,62.489,40.606,43.45
48,Ackroyd Drive,536767,181771,Roadside,37.683,37.604,40.685,34.207,45.03,50.718,44.161,40.922
49,Dod St/Burdett Rd,537026,181227,Roadside,Missing,26.86,35.155,28.993,40.369,37.13,35.708,36.34
50,Rich Street,536937,180987,Roadside,Missing,36.261,39.421,31.047,43.687,47.558,40.29,31.758
51,Watney Market,534938,181257,Background,32.153,25.596,31.363,31.521,40.211,43.371,Missing,34.523
52,Wick Lane/Autumn St,537304,183619,Roadside,33.022,34.918,45.504,35.629,46.531,41.633,42.107,42.028
53,Fairfield Road/Tredegar Road ,537159,183415,Roadside,31.363,Missing,53.799,45.583,54.273,59.171,50.244,41.949
54,Bow Rd /Glebe Terrace,537525,182887,Roadside,52.535,52.93,63.042,57.433,65.728,72.917,60.198,Missing
55,TH Cemetery Park,536730,182363,Background,18.96,21.883,24.253,18.802,24.727,29.546,26.465,20.777
56,Bow Common Lane/St Paul's Way,537248,181820,Roadside,39.737,36.577,30.81,32.548,Missing,Missing,45.82,36.182
58,Dolphin Lane,537539,180688,Roadside,28.361,25.912,26.07,30.494,30.415,30.81,41.396,31.837
59,Westferry Road/Limehouse Link jnct,537100,180791,Roadside,35.076,36.103,32.39,Missing,Missing,Missing,44.556,35.866
60,"Cascades, Westferry Road",537115,180074,Roadside,32.864,Missing,34.444,40.764,43.213,46.215,47.163,41.317
61,Bow Rd/Alfred St,537056,182773,Roadside,28.282,31.442,34.207,36.735,36.656,41.633,56.248,45.583
62,Mast House Terrace,537348,178690,Roadside,24.964,24.253,26.149,30.415,30.652,36.893,31.995,28.203
63,Millwall Park,538259,178688,Background,20.224,Missing,19.592,24.569,24.885,29.23,28.914,30.178
64,Limeharbour,537953,179357,Roadside,31.442,32.153,Missing,39.105,43.608,54.747,42.66,30.652
65,Manchester Road/East Ferry Road,538033,178360,Roadside,Missing,24.964,24.016,31.284,32.232,38.315,22.989,25.754
66,Millwall Park,538247,178689,Background,Missing,Missing,Missing,24.332,26.07,28.203,25.517,26.623
67,Seyssel Street,538545,178767,Roadside,Missing,26.149,25.359,32.153,34.681,39.105,26.544,27.808
68,Manchester Road/Ollife Street ,538432,179044,Roadside,24.49,27.65,26.702,Missing,25.28,37.683,23.937,23.384
69,Lawnhouse Close ,538191,179750,Roadside,32.39,32.153,Missing,28.519,42.107,45.662,Missing,63.832
72,Prestons Road/ Coldharbour,538364,180188,Roadside,Missing,34.128,36.735,42.66,39.658,41.238,38.394,33.812
73,John Smith Mews,538742,180756,Roadside,31.916,29.23,29.546,32.627,34.997,35.234,42.265,26.149
75,Hale Street,537661,180768,Roadside,25.359,Missing,24.727,25.912,31.758,36.735,29.625,29.546
76,Chrisp Street/E India Dock Road ,537940,181021,Roadside,46.531,37.367,42.976,55.537,51.034,45.188,49.296,48.032
77,Morris/Barchester Street,537731,181761,Roadside,28.756,25.043,29.625,35.708,Missing,Missing,37.999,31.758
78,Devons Road / Campbell Road ,537577,182232,Roadside,41.712,38.868,41.396,41.633,49.928,48.506,45.978,41.949
