Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19
1,Colombia Rd/Gossett Street,533883,182815,Kerbside,54.9,55.6,46.7,38.2,36.9,31.6,33.2,36.9,40.8,40.1,56.8,52.1
2,Calvert Ave/Boundary Street,533507,182569,Kerbside,Missing,59.2,48.5,40.5,35.8,37.1,39.8,44.4,42.8,47.6,53.9,58.7
3,Bethnal Green Rd/ Brick Lane,533860,182442,Kerbside,52.4,65.7,52.7,40.5,47.5,34.9,38.6,46.3,43.3,48.1,55.8,59.5
4,Commercial St/Calvin St,533611,182037,Kerbside,72,71.8,65.8,71,68.9,53,52.8,52.2,56,61.2,75.9,66.9
5,Whitechapel High St (KFC),533985,181426,Kerbside,57.3,80.9,77.8,60.5,59.1,55.4,53.8,58.3,61.3,61.3,71.3,68.5
6,Mansell St,533800,181021,Kerbside,59.5,73.8,67.7,54.2,53,47.7,51.3,57.1,60.2,62.5,68.5,69.7
7,St Katherine's Way,533992,180376,Roadside,47.1,46.2,38.6,37,28.2,26.8,26.1,31.4,33.2,38.3,51.8,47
8,Wapping High St/Sampson St,534444,180122,Kerbside,48.5,49.7,40,38.5,29.2,27.6,30.5,34.8,34.8,39.8,54,49.6
9,Cartwright Street,533955,180805,Kerbside,59.7,53.4,51.2,41.1,44,31.1,31.9,39.2,37.7,40.3,54.6,55.5
10,Whitechapel Rd/Adler St,534133,181509,Kerbside,59.6,70.4,54.6,53.9,57.4,Missing,39.9,43.3,51.3,46.7,54.3,60.1
11,Brick Lane/Princelet St,533866,181860,Kerbside,Missing,57.7,Missing,41.2,35,32.2,31,33.8,37.3,45,61.3,54.4
12,Buckfast St/Bethnal Green Rd,534259,182580,Kerbside,52.6,51.5,47.8,38.4,37.3,31.4,33.9,37.3,38,42,58,51.4
13,Squirries St/Gosset St,534313,182810,Kerbside,55.8,57.7,47.7,52,42.3,40.4,41.3,Missing,44.9,49,62.6,57.1
14,Warner Place/Hackney Rd,534255,183130,Kerbside,45.6,58.5,50.6,40.3,35.2,36.2,37.5,43.7,45,47.8,61.3,65.4
15,Parmiter St/ Cambridge Heath Road,534881,183240,Kerbside,70.7,65.2,53.6,54.2,50.3,40.1,42.6,45.1,48,54.4,73.4,56.3
16,Paradise Row/Bethnal Green Rd,534959,182757,Kerbside,51.5,61,51.5,47.9,41.3,39.8,37.7,42.9,42.4,47.5,55.5,57.2
17,Finnis St/Three Colts Lane,534783,182385,Kerbside,47.6,51.9,Missing,Missing,Missing,29.7,30.6,32.2,35.3,40.4,55.7,44.4
18,Sidney St/Mile End Rd,534968,181878,Roadside,63.2,43.7,56.8,45.2,44,38.2,40.7,40,36.9,50.9,68,56.5
19,Philpot St/Commercial Road,534816,181321,Kerbside,65.3,61,53.8,51.8,43.4,38.5,48.7,52.3,51.8,56.1,74.8,63.9
20,Dellow St/The Highway,534951,180779,Roadside,70.1,86.9,75.7,57.6,54.6,58.9,58.6,65.1,59.2,65.2,74,65.3
21,Queensbridge Rd/Hackney Rd,533985,183122,Kerbside,59.3,56.7,50.7,46.8,36.6,34.6,37.1,41.5,41.8,45.2,59.3,54.6
22,Wapping Wall/Garnet St,535133,180376,Kerbside,51.3,46.9,43.1,44.2,31.3,29,29.2,31.5,37.4,41.1,57.6,42.6
23,Brodlove Lane,535598,180816,Kerbside,66.2,66,56.8,45.8,47.3,44.6,49.3,54.4,48.2,47.9,62.8,54.4
24,Jubilee Street/Commercial Rd,535174,181290,Kerbside,64.1,53.9,66.9,72.3,63.5,59.1,61.8,57.5,61.7,65.1,missing,missing
25,Cavell St/Stepney Way,534884,181667,Kerbside,52,61.5,52.1,45.7,40.7,40.3,38.2,48.1,46.3,54,64.4,64.5
26,Hannibal Rd/Mile End Rd,535386,182021,Kerbside,69.6,65.2,61.3,41.6,68.3,42.3,45.5,51,51,52.8,58.8,60.1
27,Roman Rd/Globe Road,535296,182793,Kerbside,52.9,56.2,43.9,48.5,42.3,34.1,32.7,37.7,43.2,46,63,45.6
28,Bonner Road,535356,183223,Kerbside,56.2,55,46.3,43.5,41.2,39.9,42,40.7,44,44.4,62.4,47.4
29,Grove Rd/Old Ford Rd,535930,183385,Kerbside,55.6,68.2,53.5,49.2,48,45.4,50.1,45.7,52.4,missing,68.4,57.3
30,Fieldgate Street,534239,181565,Kerbside,58.5,51.3,50.9,66.2,42.4,42.8,38.4,41.1,45.8,50,62.8,52.2
31,Whitechapel Market,534516,181744,Roadside,Missing,86.7,84,66.5,67.2,63.6,62.6,63.5,69,69.8,80.5,missing
32,Globe Rd/Mile End Rd,535634,182148,Kerbside,63.6,68.4,58.3,58.2,54.3,50.6,50.3,48,52.7,54.2,64.7,53.1
33,Stepney Green,535545,181604,Urban background,45.7,Missing,40.4,34.7,Missing,22.7,25.9,29.3,31.9,40,57.2,42.7
34,Pitsea St/Commercial Rd,535797,181164,Kerbside,61.5,52.4,52.3,47.1,42.2,37.8,32.4,41.8,41.2,43.3,62.3,41.9
35,Narrow St/Limehouse Link,535977,180879,Roadside,116.9,Missing,111.8,114,100,100,99.6,90.1,99.6,93.8,114.7,90.1
36,Locksley St/St Paul's Way,536704,181647,Kerbside,51.9,53.7,43.7,49.5,34.5,33.9,30,33.9,37.7,40.9,60.7,46.9
37,Rhodeswell Rd,536577,181379,Kerbside,45.6,49.4,43,42.7,34.5,32.7,Missing,Missing,Missing,missing,57.4,41.6
38,Ben Johnson Road,536080,181721,Kerbside,61.1,48.3,50.2,50.6,40.2,39.3,35.4,34.7,46.4,46.8,70.1,49.5
39,Harford St/Mile End Rd,536089,182258,Roadside,55.1,55.7,47.9,56.5,42.7,39.7,37.6,38.8,44.8,43.7,66.1,49.2
40,Thoydon Rd,536105,183049,Kerbside,39.9,56.8,46.1,41.6,39,31.4,36.2,38.2,38,44.5,57.9,50.9
41,Ford Close/Roman Rd,536457,183301,Roadside,54.9,54.6,44.7,53.9,40,38.1,37.5,32.7,39.7,47.1,61.3,39.5
42,Victoria Park (Co-location site),536494,184170,Urban background,33.9,40.3,28.1,28.2,24.3,19.4,17.7,18.2,25.4,30.2,44.5,33.2
43,Victoria Park (Co-location site),536494,184170,Urban background,32.4,37.7,28.1,27.2,22.2,19.6,19.7,22.5,26.7,29.7,45.2,31.1
44,Parnell Rd/Old Ford Rd,536875,183740,Kerbside,57.1,56.3,40.5,44.3,40.8,38.6,39,40,Missing,48.9,65.6,31
45,St Stephen's Rd/Tredegar Rd,536713,183070,Kerbside,59.7,59.1,51,54.9,44.9,43.1,40.6,42.8,46,53,67.8,55.6
46,Rhondda Grove/Mile End Rd,536542,182589,Kerbside,60.2,59.7,45.6,45,36,34.6,34.5,36.4,41.8,43.3,63.4,35.1
47,Wentworth Mews,536452,182454,Kerbside,62,65.4,53.7,55.9,51.1,50,46.7,44.8,56,50.8,79.2,43.9
48,Ackroyd Drive,536768,181772,Kerbside,58.8,65,53.4,47.6,43.8,39.5,46.1,52.8,50.4,50.2,missing,40.2
49,Dod St/Burdett Rd,537049,181292,Kerbside,52.8,50.8,41.1,34.5,27.7,31.5,31.4,35.4,34,41.3,67.6,32.8
50,Rich Street,536937,180987,Roadside,55.5,51,Missing,50,41.8,39.5,41.7,46.6,44.6,47.9,64.5,24.2
51,Watney Market,534938,181257,Roadside,32.2,50.4,42.2,41.8,32,28.9,31.2,37.5,37.7,missing,58.2,36.5
52,Wick Lane/Autumn St,537304,183619,Kerbside,58.8,58.3,49.9,50.9,44.3,42.2,42,44.8,46,52.1,68.5,30.6
53,Fairfield Road/Tredegar Road ,537159,183415,Kerbside,57.2,65.8,64.2,73.1,55.1,52.9,51.5,49.1,Missing,54.1,69.7,40.3
54,Bow Rd /Glebe Terrace,537525,182887,Kerbside,77.6,83.3,72.7,77.4,54.2,58.8,61.4,58,54.8,54.5,85.3,55.5
55,TH Cemetery Park,536732,182361,Roadside,41.3,37,33.6,29.9,22.1,22.1,20.8,24.1,26.3,28.4,42.9,27.5
56,Bow Common Lane/St Paul's Way,537248,181820,Kerbside,55.7,46.1,43.4,43.1,38.5,37.4,38.3,42.2,40.3,40.1,60.3,32
57,Augusta St/Giraud St,537516,181392,Kerbside,50.8,45.7,38,36.1,26.5,24.6,23.9,29.3,33.9,39,60.3,30.8
58,Dolphin Lane,537539,180688,Kerbside,52.2,46.7,43.5,34.9,25.4,26.3,29.4,35.5,30.6,38.8,54.6,24.8
59,Westferry Road/Limehouse Link jnct,537100,180791,Kerbside,31.5,55.6,49.9,2.3,37.2,38.4,37.8,38.3,41.6,47,65.6,46.5
60,"Cascades, Westferry Road",537115,180074,Kerbside,37.2,61.3,53.6,38.3,40.9,41.7,43.9,49,49,47.5,61.8,46.5
61,Bow Rd/Alfred St,537056,182773,Kerbside,55.6,63.5,54,45.6,33.8,36.9,36.1,44.4,40.2,47.2,64.8,45
62,Mast House Terrace,537348,178690,Kerbside,50,51,44.2,41.8,30.2,34.4,34.9,37.9,41.2,46.1,59.4,36.1
63,Millwall Park,538246,178689,Urban background,40.2,38.6,31.3,29.1,21.7,22,23.1,29.1,29.6,32.6,48.4,39.3
64,Limeharbour,537953,179357,Kerbside,56.1,51.4,47.6,52.7,40.4,41.9,40.2,Missing,34.2,57.3,77.8,46.4
65,Manchester Road/East Ferry Road,538032,178360,Kerbside,45.4,46.2,47.7,35.5,29.5,30.3,29.5,Missing,37,39.2,59.9,26.1
66,Millwall Park,538258,178689,Urban background,44.5,34.2,40.9,31.6,16.9,20,18.9,21.8,26.4,29.2,42.6,24.6
67,Seyssel Street,538544,178767,Kerbside,51.1,44.2,43.8,43.1,32.3,33.1,31.5,36.1,38.8,43.9,59.2,35.5
68,Manchester Road/Ollife Street ,538431,179044,Kerbside,50.5,48.1,40.8,49.1,35.9,37.6,36.6,Missing,Missing,48.4,65.1,36.7
69,Lawnhouse Close ,538190,179750,Kerbside,49.9,52.2,45.5,40.7,31.3,32.2,31.8,37.2,42.7,40.1,59.8,25.5
70,Admirals Way,537424,179910,Kerbside,44.5,47.6,39.8,34.9,26.6,29.5,27.6,30.2,57.1,40.5,58.5,34.4
71,Toynbee St/Commercial St,533689,181705,Roadside,73.1,76,69.5,52.8,54.3,49.1,47.9,51.5,57.2,64.4,76.6,49.1
72,Prestons Road/ Coldharbour,538364,180188,Kerbside,59.6,55.1,51.2,54,44.1,44.2,44.5,43.4,47.4,missing,71,38.2
73,John Smith Mews,538742,180756,Kerbside,55.7,47.4,45.6,39.3,31.6,29.8,34.8,35.9,37.4,39.5,58.1,33.5
74,Poplar High St/Cotton St,538244,180761,Kerbside,97.4,104.9,92.2,89.3,82.9,89.5,94.5,100.4,98.8,105.9,109.9,68.3
75,Hale Street,537661,180768,Kerbside,48.6,49.2,41.2,39.7,27.8,29.2,27.6,31.8,35.6,40.8,56.9,29.9
76,Chrisp Street/E India Dock Road ,537940,181021,Kerbside,62.7,68.2,57.2,54.1,40,43.7,44.4,45.4,51.5,53,74.7,24.7
77,Morris/Barchester Street,537731,181761,Kerbside,51.9,55.5,47.9,41.3,33.7,33.5,34.5,35.2,38.6,45.1,60,23.2
78,Devons Road / Campbell Road ,537577,182232,Kerbside,49,58.7,53.5,53.2,38.4,44,42.3,36.6,47.9,46.3,71.6,31.4
79,Hatfield Terrace/Fairfield Road,537355,183059,Kerbside,43.8,46.7,39.5,37.2,28.6,29.3,26,26.6,34.7,37.7,55.9,37.4
80,Wrexham Road,537581,183209,Kerbside,50.7,51.4,46.5,51.4,39.5,40.2,38.6,33.3,45.6,46.8,67.1,43.8
81,Bromley High Street/ St Leonards,537868,182912,Kerbside,52.2,56.2,48.4,43.4,34.3,39.4,38.4,37.9,46.4,47.2,70.5,32.7
82,Devas Street /Devons road,537821,182332,Kerbside,59.7,57.6,58.1,46.7,42,45.2,42.6,40.8,49.3,53.8,67.3,27.4
83,Zetland Street/A12,538178,181747,Kerbside,68.4,59.4,75.9,80.2,60.4,73,66,65.8,71.8,72.5,94.1,38.6
84,Blair Street (End of Street),538365,181180,Roadside,Missing,74.6,60.8,35,42.4,46.4,44.2,57,56.8,61.6,61.2,35.2
85,Portree Street,538895,181296,Kerbside,62.6,62.9,53.4,47.8,34.1,45.9,40.7,50.4,51.1,56.6,73.4,33.6
86,Newport Avenue,538954,180872,Kerbside,51,39.4,41.7,34.1,28.3,29.8,28.3,31.3,36.3,38.7,57.4,29
87,Mile End Road Corner Bancroft Rd,535929,182220,Kerbside,72.3,52.7,62.8,47.2,46.2,43.2,41.9,40.9,47,47.5,62,30.6
88,Shirbutt St o/s Holy Family School,537555,180892,Kerbside,43.8,43.7,36.7,35.2,24.8,27.4,22.3,29,32.2,38.2,52.2,missing
89,Thames Path Storers Quay,538730,178733,Roadside,48.8,48.7,39.2,35.1,25.7,27.8,25.2,27.9,28.5,39.3,50.3,22
90,Sextant Avenue,538674,178888,Kerbside,37.3,41.8,32.6,36.1,22,23.7,22.3,26.8,30.6,34.7,49.7,21.1
