Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
1,Colombia Rd/Gossett Street,533883,182815,Kerbside,43.1,33.4,30.9,18.6,18.9,17.6,20.6,17.5,27.7,31,36.6,34.1
2,Calvert Ave/Boundary Street,533507,182569,Kerbside,39.5,22.9,31.4,25.4,26.4,20.4,23.3,17.9,30.7,34.5,37.3,missing
3,Bethnal Green Rd/ Brick Lane,533860,182442,Kerbside,38.8,31.7,34.1,29.4,31.2,24.1,33.2,26,36.1,39.6,40.8,40.1
4,Commercial St/Calvin St,533611,182037,Kerbside,50.8,47.4,42.8,37.7,36.9,31.9,38.1,26.4,49.5,48.3,49.2,44.8
5,Whitechapel High St (KFC),533985,181426,Kerbside,52.4,41,48.8,46.4,42.9,38.4,40.7,39.1,missing,55.9,63.5,62.5
6,Mansell St,533800,181021,Kerbside,48.1,40.4,44,missing,31.4,32.1,33.5,26.6,40.3,45.2,46.7,missing
7,St Katherine's Way,533992,180376,Roadside,32.1,23.9,27,21.8,19.9,16.1,19.6,15.9,missing,missing ,37.2,31.3
8,Wapping High St/Sampson St,534444,180122,Kerbside,33.4,29.9,28,26,missing,19.1,22.9,16.7,31.5,29,35.7,23.3
9,Cartwright Street,533955,180805,Kerbside,34.4,31.8,28,missing,26.6,19.3,21.9,21,30.5,31.9,38.7,missing
10,Whitechapel Rd/Adler St,534133,181509,Kerbside,37.7,36.4,38,36.7,36.8,24.1,33.1,23.9,41.1,40.1,42.4,42.2
11,Brick Lane/Princelet St,533866,181860,Kerbside,38.4,31.4,30.3,28.9,20.4,20.6,23.5,14.6,32.1,34.1,38.8,missing
12,Buckfast St/Bethnal Green Rd,534259,182580,Kerbside,37.3,24.1,26.1,30.4,26.1,22.9,25.1,20.7,32.3,32.7,35,34.2
13,Squirries St/Gosset St,534313,182810,Kerbside,41.1,34.1,30.3,34.2,29,24.8,28.3,23.2,36.2,36.3,37.2,36.6
14,Warner Place/Hackney Rd,534255,183130,Kerbside,30.8,28.2,32.3,30,25.3,22.6,27.7,16.4,33,30.1,34.5,35.9
15,Parmiter St/ Cambridge Heath Road,534881,183240,Kerbside,50.1,30.4,37.9,38.1,30.9,31.3,30.6,26.3,38.6,38.2,45.4,41.1
16,Paradise Row/Bethnal Green Rd,534959,182757,Kerbside,40.8,40.9,37.7,36,34.6,missing,31.1,16.8,39.4,40.5,37,41.1
17,Finnis St/Three Colts Lane,534783,182385,Kerbside,36.4,26.3,28.5,27.4,23.7,17.4,21.5,16.4,29.4,mising ,missing,31.5
18,Sidney St/Mile End Rd,534968,181878,Roadside,47.3,34.2,32.3,33.7,32.1,27.9,30.1,28,39,38.8,43.4,42.8
19,Philpot St/Commercial Road,534816,181321,Kerbside,51.2,42.5,39.3,35.4,33.1,28.1,31,27.2,46.5,44.3,missing,missing
20,Dellow St/The Highway,534951,180779,Roadside,53,43.6,40.6,41.3,49,34.4,53.5,35.8,59.4,56.4,55.3,54.6
21,Queensbridge Rd/Hackney Rd,533985,183122,Kerbside,43,33.2,32.9,33.1,29.9,25.6,27.1,19.9,32.2,32.1,33.8,32.7
22,Wapping Wall/Garnet St,535133,180376,Kerbside,41,33.2,30.2,33.2,26.7,21.8,26.5,20.9,36.5,36.8,40.1,30.8
23,Brodlove Lane,535598,180816,Kerbside,45,35.7,31.1,32.9,34,29.1,44,27.9,44.7,41.7,45.2,39.8
24,Jubilee Street/Commercial Rd,535174,181290,Kerbside,52.6,46.3,45.9,48.7,43,45.1,45.5,38.6,52.9,49.7,52.8,49.4
25,Cavell St/Stepney Way,534884,181667,Kerbside,40.3,34.9,37.2,31.9,27.2,25.8,27.3,20.7,missing,40.4,41.2,43.8
26,Hannibal Rd/Mile End Rd,535386,182021,Kerbside,44.3,35.3,34.6,33.4,33.6,29.2,26.9,27.7,33.4,missing ,43,39.7
27,Roman Rd/Globe Road,535296,182793,Kerbside,44.1,36.6,34.5,32.1,26.5,20.8,41.7,missing,missing,33.3,40.3,34
28,Bonner Road,535356,183223,Kerbside,missing,missing ,42.7,38.5,36.2,42.3,34.7,30,43.8,46.8,51,45.9
29,Grove Rd/Old Ford Rd,535930,183385,Kerbside,33.6,38.5,35.4,33.6,33,28.8,26.6,26.9,37.4,39.7,40.9,38.4
30,Fieldgate Street,534239,181565,Kerbside,43.1,37.9,35.2,37.6,35.8,26.1,33.3,21.8,42.6,40.1,37.9,41.9
31,Whitechapel Market,534516,181744,Roadside,56.8,47.7,51.4,49,49.3,47.4,48,46.6,57.6,57.4,57.2,53.9
32,Globe Rd/Mile End Rd,535634,182148,Kerbside,44.5,38.1,41.5,39.4,38.2,31.8,34.7,29.9,44.6,37.6,46.2,39.4
33,Stepney Green,535545,181604,Urban background,41.6,missing,27.2,25.7,20.9,19,19.9,16.3,31,29.5,37.2,31
34,Pitsea St/Commercial Rd,535797,181164,Kerbside,46.7,33.1,35.8,36.8,26.6,22.9,27.5,21.4,38.2,32,39.4,37.2
35,Narrow St/Limehouse Link,535977,180879,Roadside,75.2,71.5,88.6,71.9,80.3,85.3,77.6,73.9,89.8,69.1,74.8,72.7
36,Locksley St/St Paul's Way,536704,181647,Kerbside,43.5,31.1,26.2,33.9,missing,0.9 nul,28.2,missing,34.5,32.4,40,32.3
37,Rhodeswell Rd,536577,181379,Kerbside,38.4,28.8,missing,29.2,missing,22.7,27.5,22.4,39.9,34.1,37.3,37.4
38,Ben Johnson Road,536080,181721,Kerbside,45.5,37.5,34.7,40,31.9,26,31.5,27.6,42.1,36.3,43.2,41.3
39,Harford St/Mile End Rd,536089,182258,Roadside,42.3,38.7,36.5,38.1,32.3,29.9,33.2,26,41.3,34.5,39.8,39.5
40,Thoydon Rd,536105,183049,Kerbside,40.1,33.4,32.2,28.9,27.6,26.3,25.4,18.8,32.4,34.7,38.5,34.9
41,Ford Close/Roman Rd,536457,183301,Roadside,45,36.8,36,43.4,28.7,31.7,30.5,missing,39,38.6,40.4,37.2
42,Victoria Park,536494,184170,Urban background,30.2,10.6,20,20.7,16.4,13.5,15.1,12.5,21.8,22.7,21.9,23.9
