"lsoa11cd","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01004197","Tower Hamlets 002A",40.84,1,2,4330,"H","London",40.84,4312,0.3,3557,0.14,6953,1.22,2703,14.78,17266,38.15,2923,0.73,6299,46.5,3309,30.48,8320,78.55,657,1.39,30555,74.92,842,18.1,14558,11.46,19568,0.47,2808,0.45,2062
"E01004198","Tower Hamlets 002B",47.85,1,1,2595,"H","London",47.85,2602,0.39,1302,0.15,5937,1.24,2575,26.27,9941,42.51,1649,0.56,8289,43.83,3958,21.36,12578,88.77,269,3.06,28387,81.96,508,17.71,14814,34.83,6812,0.67,302,0.59,478
"E01004199","Tower Hamlets 002C",49.38,1,1,2300,"H","London",49.38,2304,0.43,794,0.16,5565,0.39,10562,38.74,5618,40.49,2160,0.98,3800,49.08,2744,25.49,10439,96.27,76,0.28,32089,80.71,560,30.8,8198,46.68,3899,0.57,1033,0.68,221
"E01004200","Tower Hamlets 005A",29.18,2,3,8656,"H","London",29.18,8564,0.18,9582,0.07,20427,0.72,6702,16.42,15960,38.22,2887,0.57,8163,55.59,1607,45.44,4139,75.9,789,1.59,30291,74.86,845,29.4,8741,3.45,27902,0.75,97,0.4,3162
"E01004201","Tower Hamlets 002D",34.85,1,2,6332,"H","London",34.85,6271,0.32,2943,0.13,8287,0.63,7634,17.95,14807,38.25,2878,0.19,13483,28.66,9069,22.52,11937,40.94,5124,3.75,27535,72.75,967,25.17,10591,10.72,20221,0.62,606,0.42,2685
"E01004202","Tower Hamlets 005B",39.31,1,2,4802,"H","London",39.31,4774,0.32,2954,0.12,9764,0.94,4646,16.56,15850,39.95,2307,0.89,4544,42.08,4414,19.08,13930,88.08,290,1.34,30618,78.55,657,23.32,11512,9.8,21070,0.59,855,0.65,285
"E01004203","Tower Hamlets 005C",37.06,1,2,5541,"H","London",37.06,5495,0.27,4932,0.1,12063,0.78,6129,20.74,12909,37.18,3276,1.04,3281,52.26,2101,31.74,7856,93.3,145,0.05,32416,74.31,876,20.43,13115,21.06,12748,0.52,1817,0.45,1908
"E01004204","Tower Hamlets 005D",41.19,1,2,4224,"H","London",41.19,4210,0.34,2399,0.14,6893,1.05,3755,19.16,13947,36.57,3535,0.52,8817,45.03,3640,28.93,8932,77.25,720,0.99,31102,72.15,1004,15.45,16388,22.88,11744,0.56,1173,0.42,2591
"E01004205","Tower Hamlets 013A",55.82,1,1,1284,"H","London",55.82,1288,0.49,269,0.16,5828,1.21,2751,34.4,6828,48.25,581,0.96,3953,37.04,5909,18.45,14327,74.2,882,3.16,28262,93.34,144,23.65,11343,45.15,4196,0.69,239,0.96,13
"E01004206","Tower Hamlets 013B",58.35,1,1,1005,"H","London",58.35,1005,0.46,452,0.19,3170,1.37,1884,34.85,6685,46.99,770,0.98,3779,37.95,5619,19.62,13595,74.59,860,2.21,29465,91.77,184,19.61,13602,50.09,3304,0.73,130,0.71,185
