"lsoa11cd","lsoa11nm","Index.of.Multiple.Deprivation..IMD..Score","Index.of.Multiple.Deprivation..IMD..Rank..where.1.is.most.deprived.","Index.of.Multiple.Deprivation..IMD..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Score..rate.","Income.Rank..where.1.is.most.deprived.","Income.Decile..where.1.is.most.deprived.10..of.LSOAs.","Employment.Score..rate.","Employment.Rank..where.1.is.most.deprived.","Employment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Education..Skills.and.Training.Score","Education..Skills.and.Training.Rank..where.1.is.most.deprived.","Education..Skills.and.Training.Decile..where.1.is.most.deprived.10..of.LSOAs.","Health.Deprivation.and.Disability.Score","Health.Deprivation.and.Disability.Rank..where.1.is.most.deprived.","Health.Deprivation.and.Disability.Decile..where.1.is.most.deprived.10..of.LSOAs.","Crime.Score","Crime.Rank..where.1.is.most.deprived.","Crime.Decile..where.1.is.most.deprived.10..of.LSOAs.","Barriers.to.Housing.and.Services.Score","Barriers.to.Housing.and.Services.Rank..where.1.is.most.deprived.","Barriers.to.Housing.and.Services.Decile..where.1.is.most.deprived.10..of.LSOAs.","Living.Environment.Score","Living.Environment.Rank..where.1.is.most.deprived.","Living.Environment.Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Children.Index..IDACI..Score..rate.","Income.Deprivation.Affecting.Children.Index..IDACI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Children.Index..IDACI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Income.Deprivation.Affecting.Older.People..IDAOPI..Score..rate.","Income.Deprivation.Affecting.Older.People..IDAOPI..Rank..where.1.is.most.deprived.","Income.Deprivation.Affecting.Older.People..IDAOPI..Decile..where.1.is.most.deprived.10..of.LSOAs.","Children.and.Young.People.Sub.domain.Score","Children.and.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Children.and.Young.People.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Adult.Skills.Sub.domain.Score","Adult.Skills.Sub.domain.Rank..where.1.is.most.deprived.","Adult.Skills.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Indoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Decile..where.1.is.most.deprived.10..of.LSOAs.","Total.population..mid.2012..excluding.prisoners.","Dependent.Children.aged.0.15..mid.2012..excluding.prisoners.","Population.aged.16.59..mid.2012..excluding.prisoners.","Older.population.aged.60.and.over..mid.2012..excluding.prisoners.","Working.age.population.18.59.64..for.use.with.Employment.Deprivation.Domain..excluding.prisoners."
"E01004197","Tower Hamlets 002A",39.533,4639,2,0.273,4440,2,0.166,7562,3,16.106,16575,6,1.011,4320,2,0.941,3914,2,34.925,4053,2,50.44,2194,1,0.417,2363,1,0.462,1279,1,0.133,14134,5,0.28,18308,6,-1.902,32683,10,4.79,1175,1,0.586,8301,3,2.248,242,1,2585,537,1872,176,1866.5
"E01004198","Tower Hamlets 002B",51.047,2046,1,0.345,1873,1,0.221,3846,2,27.607,9596,3,1.534,1513,1,1.092,2673,1,38.628,2546,1,38.667,5145,2,0.435,1931,1,0.61,228,1,0.193,13171,5,0.398,6951,3,-1.596,32324,10,5.192,746,1,-0.186,19191,6,2.302,188,1,1553,291,1032,230,1023.25
"E01004199","Tower Hamlets 002C",56.17,1319,1,0.377,1198,1,0.248,2563,1,35.581,6652,3,0.667,7481,3,1.965,130,1,43.695,1235,1,37.593,5537,2,0.419,2296,1,0.614,214,1,0.039,15589,5,0.482,2703,1,-1.127,30569,10,5.599,370,1,-0.473,23182,8,2.574,61,1,1617,455,1002,160,959.75
"E01004200","Tower Hamlets 005A",30.051,8220,3,0.179,9814,3,0.087,18457,6,2.922,29894,10,0.598,8278,3,1.104,2565,1,33.028,4957,2,63.42,557,1,0.461,1414,1,0.524,626,1,-0.884,28326,9,0.171,29436,9,-1.652,32417,10,4.53,1478,1,1.183,2867,1,2.051,437,1,1584,181,1327,76,1296.25
"E01004201","Tower Hamlets 002D",33.902,6563,2,0.267,4707,2,0.161,7999,3,14.505,17817,6,0.384,10802,4,0.663,6850,3,36.041,3542,2,40.751,4485,2,0.372,3753,2,0.506,779,1,0.109,14471,5,0.26,20620,7,-0.938,29212,9,4.773,1197,1,0.358,11255,4,1.762,897,1,1601,323,1110,168,1094
"E01004202","Tower Hamlets 005B",29.49,8470,3,0.219,7158,3,0.104,15059,5,9.119,22747,7,0.298,11922,4,1.319,1368,1,31.867,5630,2,38.477,5210,2,0.46,1440,1,0.573,344,1,-0.209,19611,6,0.225,24570,8,-1.658,32425,10,4.367,1680,1,-0.157,18792,6,2.263,230,1,1715,273,1340,102,1323.75
"E01004203","Tower Hamlets 005C",32.962,6930,3,0.191,9006,3,0.11,14102,5,12.151,19879,7,0.744,6654,3,1.464,832,1,34.388,4277,2,44.736,3386,2,0.33,5343,2,0.404,2356,1,-0.043,16912,6,0.249,21766,7,-1.817,32616,10,4.723,1255,1,0.241,12963,4,2.322,171,1,1904,332,1417,155,1424.75
"E01004204","Tower Hamlets 005D",44.591,3278,1,0.343,1940,1,0.2,5027,2,20.386,13484,5,0.994,4452,2,1.063,2901,1,36.807,3225,1,34.256,6864,3,0.468,1273,1,0.504,794,1,-0.649,25874,8,0.401,6721,3,-1.478,32058,10,4.987,959,1,-0.49,23411,8,2.164,314,1,1648,317,1059,272,1056.5
"E01004205","Tower Hamlets 013A",45.848,3008,1,0.346,1859,1,0.208,4532,2,27.564,9616,3,0.64,7789,3,0.967,3659,2,43.811,1207,1,33.462,7175,3,0.387,3270,1,0.779,20,1,-0.371,22019,7,0.449,4059,2,-1.665,32436,10,5.672,317,1,-0.118,18234,6,1.75,916,1,2162,546,1471,145,1458.25
"E01004206","Tower Hamlets 013B",55.458,1408,1,0.374,1254,1,0.233,3224,1,32.479,7673,3,1.479,1724,1,1.139,2337,1,44.88,1016,1,37.504,5561,2,0.453,1554,1,0.739,34,1,0.15,13870,5,0.447,4166,2,-1.233,31169,10,5.726,278,1,-0.122,18289,6,2.118,360,1,1475,297,1022,156,1000.25
