"lsoa11cd","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01004197","Tower Hamlets 002A",167476.5769075,2527.27128843042,9298,3,27.495,9298,3,0.184,7712,3,0.103,12036,4,9.012,22841,7,0.43,9948,4,0.73,6179,2,27.049,9220,3,40.716,4039,2,0.233,7862,3,0.397,1940,1,-0.704,26560,9,0.28,18308,6,-1.674,32434,10,3.836,2777,1,0.18,13630,5,1.947,491,1,2919,655,2044,220,2062.25
"E01004198","Tower Hamlets 002B",96358.296429,1759.30883995055,3698,2,42.068,3698,2,0.273,3129,1,0.167,5199,2,25.548,10543,4,1.146,3188,1,1.152,2511,1,28.331,8165,3,31.078,8212,3,0.252,6780,3,0.587,249,1,0.015,15839,5,0.398,6951,3,-1.497,32112,10,4.003,2467,1,-0.825,27559,9,2.017,387,1,1610,343,1047,220,1034
"E01004199","Tower Hamlets 002C",67141.553394,1585.80473274831,3280,1,43.877,3280,1,0.296,2324,1,0.176,4585,2,33.984,7105,3,0.416,10109,4,1.486,1104,1,29.918,7026,3,33.528,6942,3,0.287,4994,2,0.532,451,1,-0.114,17976,6,0.482,2703,1,-1.331,31600,10,4.185,2134,1,-1.122,29860,10,2.329,77,1,1692,438,1065,189,1049.75
"E01004200","Tower Hamlets 005A",57714.607324,1174.64112422002,9443,3,27.239,9443,3,0.14,11413,4,0.062,20962,7,3.34,29328,9,0.369,10726,4,0.564,8210,3,32.914,5133,2,75.606,31,1,0.308,4061,2,0.502,639,1,-0.77,27298,9,0.171,29436,9,-1.664,32418,10,4.611,1497,1,1.449,1276,1,2.14,231,1,1534,186,1249,99,1248
"E01004201","Tower Hamlets 002D",128469.1098055,1908.51102497235,10249,4,25.908,10249,4,0.201,6612,3,0.109,11207,4,13.348,18721,6,0.183,13299,5,0.338,11350,4,28.164,8285,3,31.073,8215,3,0.243,7341,3,0.463,937,1,0.003,16049,5,0.26,20620,7,-0.859,28565,9,3.785,2869,1,-0.175,19238,6,1.626,1225,1,1654,341,1119,194,1113.75
"E01004202","Tower Hamlets 005B",109374.5085725,1690.4189162976,10499,4,25.423,10499,4,0.152,10362,4,0.076,17326,6,6.408,25709,8,0.402,10302,4,1.15,2523,1,29.048,7616,3,37.885,5034,2,0.285,5083,2,0.517,544,1,-0.578,24939,8,0.225,24570,8,-1.245,31252,10,4.052,2366,1,-0.339,21700,7,2.281,108,1,1736,273,1369,94,1348.25
"E01004203","Tower Hamlets 005C",106065.366056,2563.53699482423,8880,3,28.299,8880,3,0.166,9119,3,0.086,14961,5,11.473,20447,7,0.465,9530,3,1.269,1884,1,29.303,7437,3,37.905,5027,2,0.235,7797,3,0.401,1852,1,-0.114,17965,6,0.249,21766,7,-1.882,32688,10,4.146,2186,1,-0.353,21902,7,2.303,97,1,1903,379,1386,138,1370
"E01004204","Tower Hamlets 005D",83461.44877,1480.77167696107,6274,2,33.995,6274,2,0.238,4625,2,0.139,7539,3,20.48,13484,5,0.763,6251,2,0.671,6840,3,26.734,9538,3,34.145,6614,3,0.263,6165,2,0.452,1059,1,-0.631,25661,8,0.401,6721,3,-1.744,32534,10,3.793,2856,1,-0.757,26912,9,2.224,144,1,1842,358,1212,272,1176.5
"E01004205","Tower Hamlets 013A",135977.069856,2249.85167819708,4905,2,37.904,4905,2,0.259,3626,2,0.165,5378,2,25.504,10571,4,0.796,5942,2,0.742,6033,2,30.1,6903,3,29.438,9129,3,0.239,7565,3,0.766,20,1,-0.693,26423,9,0.449,4059,2,-1.768,32566,10,4.258,2020,1,-1.037,29312,9,1.964,466,1,2324,602,1572,150,1557
"E01004206","Tower Hamlets 013B",77362.727841,1888.25581543298,3446,2,43.126,3446,2,0.315,1804,1,0.181,4234,2,27.334,9678,3,0.759,6290,2,1.035,3262,1,30.109,6891,3,26.973,10562,4,0.348,2696,1,0.697,64,1,-0.366,21940,7,0.447,4166,2,-1.385,31802,10,4.227,2076,1,-0.981,28907,9,1.773,840,1,1481,324,1000,157,1003.75
