Area,Date,Category,mean sec,pct_90th_percentile,type,utcdate,time,utctimestamp
TH,2019-06-01,1,00:06:15,00:10:47,Tower Hamlets,2019-06-01,T00:00:00.000Z,2019-06-01T00:00:00.000Z
TH,2019-07-01,1,00:06:23,00:09:56,Tower Hamlets,2019-07-01,T00:00:00.000Z,2019-07-01T00:00:00.000Z
TH,2019-08-01,1,00:05:54,00:09:49,Tower Hamlets,2019-08-01,T00:00:00.000Z,2019-08-01T00:00:00.000Z
TH,2019-09-01,1,00:06:04,00:10:01,Tower Hamlets,2019-09-01,T00:00:00.000Z,2019-09-01T00:00:00.000Z
TH,2019-10-01,1,00:06:42,00:11:05,Tower Hamlets,2019-10-01,T00:00:00.000Z,2019-10-01T00:00:00.000Z
TH,2019-11-01,1,00:06:48,00:11:05,Tower Hamlets,2019-11-01,T00:00:00.000Z,2019-11-01T00:00:00.000Z
TH,2019-12-01,1,00:06:35,00:10:46,Tower Hamlets,2019-12-01,T00:00:00.000Z,2019-12-01T00:00:00.000Z
TH,2020-01-01,1,00:06:27,00:11:07,Tower Hamlets,2020-01-01,T00:00:00.000Z,2020-01-01T00:00:00.000Z
TH,2020-02-01,1,00:06:40,00:10:26,Tower Hamlets,2020-02-01,T00:00:00.000Z,2020-02-01T00:00:00.000Z
TH,2020-03-01,1,00:09:30,00:17:31,Tower Hamlets,2020-03-01,T00:00:00.000Z,2020-03-01T00:00:00.000Z
TH,2020-04-01,1,00:06:42,00:12:25,Tower Hamlets,2020-04-01,T00:00:00.000Z,2020-04-01T00:00:00.000Z
TH,2020-05-01,1,00:05:28,00:09:42,Tower Hamlets,2020-05-01,T00:00:00.000Z,2020-05-01T00:00:00.000Z
TH,2020-06-01,1,00:05:16,00:08:25,Tower Hamlets,2020-06-01,T00:00:00.000Z,2020-06-01T00:00:00.000Z
TH,2020-07-01,1,00:05:46,00:09:43,Tower Hamlets,2020-07-01,T00:00:00.000Z,2020-07-01T00:00:00.000Z
TH,2020-08-01,1,00:05:36,00:09:46,Tower Hamlets,2020-08-01,T00:00:00.000Z,2020-08-01T00:00:00.000Z
TH,2020-09-01,1,00:05:14,00:08:59,Tower Hamlets,2020-09-01,T00:00:00.000Z,2020-09-01T00:00:00.000Z
TH,2020-10-01,1,00:04:50,00:08:24,Tower Hamlets,2020-10-01,T00:00:00.000Z,2020-10-01T00:00:00.000Z
TH,2020-11-01,1,00:05:03,00:08:41,Tower Hamlets,2020-11-01,T00:00:00.000Z,2020-11-01T00:00:00.000Z
TH,2020-12-01,1,00:06:33,00:11:05,Tower Hamlets,2020-12-01,T00:00:00.000Z,2020-12-01T00:00:00.000Z
TH,2021-01-01,1,00:05:55,00:09:18,Tower Hamlets,2021-01-01,T00:00:00.000Z,2021-01-01T00:00:00.000Z
TH,2021-02-01,1,00:05:00,00:08:48,Tower Hamlets,2021-02-01,T00:00:00.000Z,2021-02-01T00:00:00.000Z
TH,2021-03-01,1,00:05:22,00:08:45,Tower Hamlets,2021-03-01,T00:00:00.000Z,2021-03-01T00:00:00.000Z
TH,2021-04-01,1,00:05:37,00:09:20,Tower Hamlets,2021-04-01,T00:00:00.000Z,2021-04-01T00:00:00.000Z
TH,2021-05-01,1,00:05:46,00:10:11,Tower Hamlets,2021-05-01,T00:00:00.000Z,2021-05-01T00:00:00.000Z
TH,2021-06-01,1,00:05:34,00:10:11,Tower Hamlets,2021-06-01,T00:00:00.000Z,2021-06-01T00:00:00.000Z
TH,2021-07-01,1,00:06:33,00:11:22,Tower Hamlets,2021-07-01,T00:00:00.000Z,2021-07-01T00:00:00.000Z
TH,2021-08-01,1,00:06:09,00:10:47,Tower Hamlets,2021-08-01,T00:00:00.000Z,2021-08-01T00:00:00.000Z
TH,2021-09-01,1,00:06:49,00:11:46,Tower Hamlets,2021-09-01,T00:00:00.000Z,2021-09-01T00:00:00.000Z
TH,2021-10-01,1,00:06:40,00:11:27,Tower Hamlets,2021-10-01,T00:00:00.000Z,2021-10-01T00:00:00.000Z
TH,2021-11-01,1,00:06:22,00:10:14,Tower Hamlets,2021-11-01,T00:00:00.000Z,2021-11-01T00:00:00.000Z
TH,2021-12-01,1,00:06:10,00:10:43,Tower Hamlets,2021-12-01,T00:00:00.000Z,2021-12-01T00:00:00.000Z
TH,2022-01-01,1,00:05:51,00:09:06,Tower Hamlets,2022-01-01,T00:00:00.000Z,2022-01-01T00:00:00.000Z
TH,2022-02-01,1,00:06:08,00:09:58,Tower Hamlets,2022-02-01,T00:00:00.000Z,2022-02-01T00:00:00.000Z
TH,2022-03-01,1,00:06:54,00:11:41,Tower Hamlets,2022-03-01,T00:00:00.000Z,2022-03-01T00:00:00.000Z
TH,2022-04-01,1,00:06:02,00:10:23,Tower Hamlets,2022-04-01,T00:00:00.000Z,2022-04-01T00:00:00.000Z
TH,2022-05-01,1,00:06:33,00:11:18,Tower Hamlets,2022-05-01,T00:00:00.000Z,2022-05-01T00:00:00.000Z
TH,2022-06-01,1,00:07:10,00:11:44,Tower Hamlets,2022-06-01,T00:00:00.000Z,2022-06-01T00:00:00.000Z
TH,2022-07-01,1,00:08:02,00:12:48,Tower Hamlets,2022-07-01,T00:00:00.000Z,2022-07-01T00:00:00.000Z
TH,2022-08-01,1,00:06:43,00:11:49,Tower Hamlets,2022-08-01,T00:00:00.000Z,2022-08-01T00:00:00.000Z
TH,2022-09-01,1,00:06:51,00:12:07,Tower Hamlets,2022-09-01,T00:00:00.000Z,2022-09-01T00:00:00.000Z
TH,2022-12-01,1,00:09:54,00:17:33,Tower Hamlets,2022-12-01,T00:00:00.000Z,2022-12-01T00:00:00.000Z
TH,2023-01-01,1,00:07:21,00:12:13,Tower Hamlets,2023-01-01,T00:00:00.000Z,2023-01-01T00:00:00.000Z
TH,2023-02-01,1,00:07:27,00:12:21,Tower Hamlets,2023-02-01,T00:00:00.000Z,2023-02-01T00:00:00.000Z
TH,2023-03-01,1,00:07:50,00:13:40,Tower Hamlets,2023-03-01,T00:00:00.000Z,2023-03-01T00:00:00.000Z
TH,2023-04-01,1,00:07:06,00:12:03,Tower Hamlets,2023-04-01,T00:00:00.000Z,2023-04-01T00:00:00.000Z
TH,2023-05-01,1,00:07:26,00:12:43,Tower Hamlets,2023-05-01,T00:00:00.000Z,2023-05-01T00:00:00.000Z
TH,2023-06-01,1,00:07:43,00:13:16,Tower Hamlets,2023-06-01,T00:00:00.000Z,2023-06-01T00:00:00.000Z
TH,2023-07-01,1,00:06:48,00:11:44,Tower Hamlets,2023-07-01,T00:00:00.000Z,2023-07-01T00:00:00.000Z
TH,2023-08-01,1,00:07:04,00:11:46,Tower Hamlets,2023-08-01,T00:00:00.000Z,2023-08-01T00:00:00.000Z
TH,2023-09-01,1,00:07:30,00:12:00,Tower Hamlets,2023-09-01,T00:00:00.000Z,2023-09-01T00:00:00.000Z
TH,2023-10-01,1,00:06:31,00:11:35,Tower Hamlets,2023-10-01,T00:00:00.000Z,2023-10-01T00:00:00.000Z
TH,2023-11-01,1,00:07:13,00:12:32,Tower Hamlets,2023-11-01,T00:00:00.000Z,2023-11-01T00:00:00.000Z
TH,2023-12-01,1,00:07:39,00:13:28,Tower Hamlets,2023-12-01,T00:00:00.000Z,2023-12-01T00:00:00.000Z
TH,2024-01-01,1,00:07:10,00:12:47,Tower Hamlets,2024-01-01,T00:00:00.000Z,2024-01-01T00:00:00.000Z
TH,2024-02-01,1,00:07:12,00:12:06,Tower Hamlets,2024-02-01,T00:00:00.000Z,2024-02-01T00:00:00.000Z
TH,2024-03-01,1,00:06:43,00:11:11,Tower Hamlets,2024-03-01,T00:00:00.000Z,2024-03-01T00:00:00.000Z
TH,2024-04-01,1,00:06:37,00:11:13,Tower Hamlets,2024-04-01,T00:00:00.000Z,2024-04-01T00:00:00.000Z
TH,2024-05-01,1,00:06:50,00:11:47,Tower Hamlets,2024-05-01,T00:00:00.000Z,2024-05-01T00:00:00.000Z
TH,2019-06-01,2,00:18:44,00:40:27,Tower Hamlets,2019-06-01,T00:00:00.000Z,2019-06-01T00:00:00.000Z
TH,2019-07-01,2,00:17:54,00:36:00,Tower Hamlets,2019-07-01,T00:00:00.000Z,2019-07-01T00:00:00.000Z
TH,2019-08-01,2,00:15:01,00:30:47,Tower Hamlets,2019-08-01,T00:00:00.000Z,2019-08-01T00:00:00.000Z
TH,2019-09-01,2,00:15:33,00:30:51,Tower Hamlets,2019-09-01,T00:00:00.000Z,2019-09-01T00:00:00.000Z
TH,2019-10-01,2,00:17:33,00:35:47,Tower Hamlets,2019-10-01,T00:00:00.000Z,2019-10-01T00:00:00.000Z
TH,2019-11-01,2,00:18:47,00:40:16,Tower Hamlets,2019-11-01,T00:00:00.000Z,2019-11-01T00:00:00.000Z
TH,2019-12-01,2,00:23:10,00:51:33,Tower Hamlets,2019-12-01,T00:00:00.000Z,2019-12-01T00:00:00.000Z
TH,2020-01-01,2,00:16:11,00:32:42,Tower Hamlets,2020-01-01,T00:00:00.000Z,2020-01-01T00:00:00.000Z
TH,2020-02-01,2,00:20:21,00:43:19,Tower Hamlets,2020-02-01,T00:00:00.000Z,2020-02-01T00:00:00.000Z
TH,2020-03-01,2,00:49:30,01:51:58,Tower Hamlets,2020-03-01,T00:00:00.000Z,2020-03-01T00:00:00.000Z
TH,2020-04-01,2,00:19:15,00:45:33,Tower Hamlets,2020-04-01,T00:00:00.000Z,2020-04-01T00:00:00.000Z
TH,2020-05-01,2,00:07:22,00:12:17,Tower Hamlets,2020-05-01,T00:00:00.000Z,2020-05-01T00:00:00.000Z
TH,2020-06-01,2,00:08:20,00:13:52,Tower Hamlets,2020-06-01,T00:00:00.000Z,2020-06-01T00:00:00.000Z
TH,2020-07-01,2,00:09:48,00:17:05,Tower Hamlets,2020-07-01,T00:00:00.000Z,2020-07-01T00:00:00.000Z
TH,2020-08-01,2,00:12:43,00:24:46,Tower Hamlets,2020-08-01,T00:00:00.000Z,2020-08-01T00:00:00.000Z
TH,2020-09-01,2,00:15:22,00:29:38,Tower Hamlets,2020-09-01,T00:00:00.000Z,2020-09-01T00:00:00.000Z
TH,2020-10-01,2,00:13:18,00:25:52,Tower Hamlets,2020-10-01,T00:00:00.000Z,2020-10-01T00:00:00.000Z
TH,2020-11-01,2,00:13:28,00:26:16,Tower Hamlets,2020-11-01,T00:00:00.000Z,2020-11-01T00:00:00.000Z
TH,2020-12-01,2,00:50:03,02:06:27,Tower Hamlets,2020-12-01,T00:00:00.000Z,2020-12-01T00:00:00.000Z
TH,2021-01-01,2,00:45:00,01:57:04,Tower Hamlets,2021-01-01,T00:00:00.000Z,2021-01-01T00:00:00.000Z
TH,2021-02-01,2,00:10:15,00:18:27,Tower Hamlets,2021-02-01,T00:00:00.000Z,2021-02-01T00:00:00.000Z
TH,2021-03-01,2,00:11:42,00:21:51,Tower Hamlets,2021-03-01,T00:00:00.000Z,2021-03-01T00:00:00.000Z
TH,2021-04-01,2,00:16:17,00:33:17,Tower Hamlets,2021-04-01,T00:00:00.000Z,2021-04-01T00:00:00.000Z
TH,2021-05-01,2,00:19:42,00:41:02,Tower Hamlets,2021-05-01,T00:00:00.000Z,2021-05-01T00:00:00.000Z
TH,2021-06-01,2,00:27:53,01:01:26,Tower Hamlets,2021-06-01,T00:00:00.000Z,2021-06-01T00:00:00.000Z
TH,2021-07-01,2,00:45:34,01:43:06,Tower Hamlets,2021-07-01,T00:00:00.000Z,2021-07-01T00:00:00.000Z
TH,2021-08-01,2,00:43:04,01:33:12,Tower Hamlets,2021-08-01,T00:00:00.000Z,2021-08-01T00:00:00.000Z
TH,2021-09-01,2,00:46:28,01:45:16,Tower Hamlets,2021-09-01,T00:00:00.000Z,2021-09-01T00:00:00.000Z
TH,2021-10-01,2,00:52:49,01:48:10,Tower Hamlets,2021-10-01,T00:00:00.000Z,2021-10-01T00:00:00.000Z
TH,2021-11-01,2,00:48:24,01:47:53,Tower Hamlets,2021-11-01,T00:00:00.000Z,2021-11-01T00:00:00.000Z
TH,2021-12-01,2,00:59:22,02:10:27,Tower Hamlets,2021-12-01,T00:00:00.000Z,2021-12-01T00:00:00.000Z
TH,2022-01-01,2,00:36:25,01:20:51,Tower Hamlets,2022-01-01,T00:00:00.000Z,2022-01-01T00:00:00.000Z
TH,2022-02-01,2,00:36:44,01:17:35,Tower Hamlets,2022-02-01,T00:00:00.000Z,2022-02-01T00:00:00.000Z
TH,2022-03-01,2,00:52:46,01:54:46,Tower Hamlets,2022-03-01,T00:00:00.000Z,2022-03-01T00:00:00.000Z
TH,2022-04-01,2,00:40:50,01:38:14,Tower Hamlets,2022-04-01,T00:00:00.000Z,2022-04-01T00:00:00.000Z
TH,2022-05-01,2,00:42:29,01:35:20,Tower Hamlets,2022-05-01,T00:00:00.000Z,2022-05-01T00:00:00.000Z
TH,2022-06-01,2,00:56:53,02:03:03,Tower Hamlets,2022-06-01,T00:00:00.000Z,2022-06-01T00:00:00.000Z
TH,2022-07-01,2,01:01:13,02:15:01,Tower Hamlets,2022-07-01,T00:00:00.000Z,2022-07-01T00:00:00.000Z
TH,2022-08-01,2,00:38:11,01:29:53,Tower Hamlets,2022-08-01,T00:00:00.000Z,2022-08-01T00:00:00.000Z
TH,2022-09-01,2,00:45:31,01:44:31,Tower Hamlets,2022-09-01,T00:00:00.000Z,2022-09-01T00:00:00.000Z
TH,2022-12-01,2,01:20:21,03:08:16,Tower Hamlets,2022-12-01,T00:00:00.000Z,2022-12-01T00:00:00.000Z
TH,2023-01-01,2,00:31:03,01:11:56,Tower Hamlets,2023-01-01,T00:00:00.000Z,2023-01-01T00:00:00.000Z
TH,2023-02-01,2,00:38:20,01:23:43,Tower Hamlets,2023-02-01,T00:00:00.000Z,2023-02-01T00:00:00.000Z
TH,2023-03-01,2,00:46:50,01:40:40,Tower Hamlets,2023-03-01,T00:00:00.000Z,2023-03-01T00:00:00.000Z
TH,2023-04-01,2,00:37:42,01:29:59,Tower Hamlets,2023-04-01,T00:00:00.000Z,2023-04-01T00:00:00.000Z
TH,2023-05-01,2,00:47:08,01:46:57,Tower Hamlets,2023-05-01,T00:00:00.000Z,2023-05-01T00:00:00.000Z
TH,2023-06-01,2,00:58:54,02:16:16,Tower Hamlets,2023-06-01,T00:00:00.000Z,2023-06-01T00:00:00.000Z
TH,2023-07-01,2,00:35:23,01:19:23,Tower Hamlets,2023-07-01,T00:00:00.000Z,2023-07-01T00:00:00.000Z
TH,2023-08-01,2,00:40:40,01:33:24,Tower Hamlets,2023-08-01,T00:00:00.000Z,2023-08-01T00:00:00.000Z
