Area,Date,Category,mean sec,pct_90th_percentile,type,utcdate,time,utctimestamp,mean ms,period
TH,2019-06-01,1,00:06:15,00:10:47,Tower Hamlets,2019-06-01,T00:00:00.000Z,2019-06-01T00:00:00.000Z,375000,Before
TH,2019-07-01,1,00:06:23,00:09:56,Tower Hamlets,2019-07-01,T00:00:00.000Z,2019-07-01T00:00:00.000Z,383000,Before
TH,2019-08-01,1,00:05:54,00:09:49,Tower Hamlets,2019-08-01,T00:00:00.000Z,2019-08-01T00:00:00.000Z,354000,Before
TH,2019-09-01,1,00:06:04,00:10:01,Tower Hamlets,2019-09-01,T00:00:00.000Z,2019-09-01T00:00:00.000Z,364000,Before
TH,2019-10-01,1,00:06:42,00:11:05,Tower Hamlets,2019-10-01,T00:00:00.000Z,2019-10-01T00:00:00.000Z,402000,Before
TH,2019-11-01,1,00:06:48,00:11:05,Tower Hamlets,2019-11-01,T00:00:00.000Z,2019-11-01T00:00:00.000Z,408000,Before
TH,2019-12-01,1,00:06:35,00:10:46,Tower Hamlets,2019-12-01,T00:00:00.000Z,2019-12-01T00:00:00.000Z,395000,Before-6-month
TH,2020-01-01,1,00:06:27,00:11:07,Tower Hamlets,2020-01-01,T00:00:00.000Z,2020-01-01T00:00:00.000Z,387000,Before-6-month
TH,2020-02-01,1,00:06:40,00:10:26,Tower Hamlets,2020-02-01,T00:00:00.000Z,2020-02-01T00:00:00.000Z,400000,Before-6-month
TH,2020-03-01,1,00:09:30,00:17:31,Tower Hamlets,2020-03-01,T00:00:00.000Z,2020-03-01T00:00:00.000Z,570000,Before-6-month
TH,2020-04-01,1,00:06:42,00:12:25,Tower Hamlets,2020-04-01,T00:00:00.000Z,2020-04-01T00:00:00.000Z,402000,Before-6-month
TH,2020-05-01,1,00:05:28,00:09:42,Tower Hamlets,2020-05-01,T00:00:00.000Z,2020-05-01T00:00:00.000Z,328000,Before-6-month
TH,2020-06-01,1,00:05:16,00:08:25,Tower Hamlets,2020-06-01,T00:00:00.000Z,2020-06-01T00:00:00.000Z,316000,Before
TH,2020-07-01,1,00:05:46,00:09:43,Tower Hamlets,2020-07-01,T00:00:00.000Z,2020-07-01T00:00:00.000Z,346000,After
TH,2020-08-01,1,00:05:36,00:09:46,Tower Hamlets,2020-08-01,T00:00:00.000Z,2020-08-01T00:00:00.000Z,336000,After
TH,2020-09-01,1,00:05:14,00:08:59,Tower Hamlets,2020-09-01,T00:00:00.000Z,2020-09-01T00:00:00.000Z,314000,After
TH,2020-10-01,1,00:04:50,00:08:24,Tower Hamlets,2020-10-01,T00:00:00.000Z,2020-10-01T00:00:00.000Z,290000,After
TH,2020-11-01,1,00:05:03,00:08:41,Tower Hamlets,2020-11-01,T00:00:00.000Z,2020-11-01T00:00:00.000Z,303000,After
TH,2020-12-01,1,00:06:33,00:11:05,Tower Hamlets,2020-12-01,T00:00:00.000Z,2020-12-01T00:00:00.000Z,393000,After
TH,2021-01-01,1,00:05:55,00:09:18,Tower Hamlets,2021-01-01,T00:00:00.000Z,2021-01-01T00:00:00.000Z,355000,After
TH,2021-02-01,1,00:05:00,00:08:48,Tower Hamlets,2021-02-01,T00:00:00.000Z,2021-02-01T00:00:00.000Z,300000,After
TH,2021-03-01,1,00:05:22,00:08:45,Tower Hamlets,2021-03-01,T00:00:00.000Z,2021-03-01T00:00:00.000Z,322000,After
