YearMonth,Incidents,AverageOfAttendanceTime
201906,345,00:04:31
201907,349,00:04:37
201908,396,00:04:37
201909,345,00:04:39
201910,389,00:04:38
201911,349,00:04:47
201912,294,00:04:34
202001,279,00:04:26
202002,298,00:04:24
202003,325,00:04:20
202004,245,00:04:00
202005,320,00:04:18
202006,306,00:04:29
202007,296,00:04:29
202008,350,00:04:39
202009,309,00:04:35
202010,322,00:04:27
202011,339,00:04:22
202012,303,00:04:24
202101,274,00:04:13
202102,284,00:04:26
202103,295,00:04:24
202104,317,00:04:31
202105,335,00:04:41
202106,361,00:04:59
202107,397,00:04:39
202108,386,00:04:18
202109,389,00:04:31
202110,376,00:04:44
202111,403,00:04:31
202112,378,00:04:30
202201,361,00:04:23
202202,388,00:04:23
202203,387,00:04:42
202204,371,00:04:28
202205,383,00:04:28
202206,382,00:04:45
202207,449,00:05:02
202208,454,00:04:37
202209,374,00:04:27
202210,433,00:04:43
202211,423,00:04:50
202212,503,00:04:35
202301,383,00:04:32
202302,390,00:04:40
202303,406,00:04:32
202304,370,00:04:31
202305,384,00:04:27
202306,436,00:04:41
202307,449,00:04:41
202308,420,00:04:47
202309,521,00:05:01
202310,511,00:04:41
202311,535,00:04:42
202312,496,00:04:53
202401,463,00:04:51
202402,441,00:04:44
202403,401,00:04:36
202404,399,00:04:28
202405,494,00:04:44
202406,313,00:04:48
