,Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2016,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,,,
,For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.londonair.org.uk,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Average,Annualised & Bias Adjusted Average *,,,,,,
1,Colombia Rd/Gossett Street,533883,182815,Roadside,66.4,55.0,48.1,47.8,35.5,45.9,39.9,42.6,48.8,56.8,Missing,Missing,48.68,37.48,,,Meeting annual Air Quality Objective,,,
2,Calvert Ave/Boundary Street,533507,182569,Roadside,63.0,Missing,70.0,39.6,47.8,47.5,46.2,45.6,Missing,54.0,60.7,57.8,53.22,40.98,,,Exceeding annual Air Quality Objective,,,
3,Bethnal Grn Rd/ Brick Lane,533860,182442,Roadside,72.6,65.7,52.4,46.6,56.2,58.6,51.4,50.6,58.6,56.4,67.6,73.0,59.14,45.54,,,,,,
4,Commercial St/Calvin St,533583,182066,Roadside,78.5,69.7,89.4,75.8,missing,69.1,69.9,38.2,87.6,99.2,94.2,86.2,77.98,60.05,,,,,,
5,Whitechapel High St (KFC),533985,181426,Roadside,79.3,Missing,Missing,86.6,80.8,85.4,80.4,82.7,30.9,97.5,106.4,95.3,82.53,63.55,,,,,,
6,Mansell St,533801,180726,Roadside,Missing,88.7,105.8,99.0,missing,91.1,108.9,86.0,Missing,66.3,90.8,Missing,92.08,70.90,,,,,,
7,St Katherine's Way,533984,180373,Background,48.5,44.4,40.7,39.4,40.4,33.6,Missing,32.2,44.3,43.7,56.4,56.5,43.65,33.61,,,,,,
8,Wapping High St/Sampson St,534444,180122,Roadside,59.5,49.2,35.1,40.8,37.8,34.8,Missing,Missing,38.5,52.3,59.7,62.2,46.99,36.18,,,,,,
