,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2018,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.airqualityengland.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,,,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Average,Annualised & Bias Adjusted Average *,,,,,,,,,,
1,Colombia Rd/Gossett Street,533883.0,182815.0,Kerbside,44.1,48.3,50.2,44.0,30.9,Missing,43.8,39.0,43.5,51.7,48.4,52.6,45.14,34.30,,,Meeting annual Air Quality Objective,,,,,,,
2,Calvert Ave/Boundary Street,533507.0,182569.0,Kerbside,49.8,54.1,49.0,49.7,44.2,31.0,46.0,44.1,49.1,53.8,57.0,58.8,48.88,37.15,,,Exceeding annual Air Quality Objective,,,,,,,
3,Bethnal Green Rd/ Brick Lane,533860.0,182442.0,Kerbside,Missing,51.3,54.0,50.0,46.0,31.5,47.4,43.3,48.5,49.9,38.4,55.5,46.89,35.64,,,,,,,,,,
4,Commercial St/Calvin St,533611.0,182037.0,Kerbside,66.2,77.0,65.1,70.4,80.6,77.9,Missing,57.7,57.9,70.1,76.9,69.1,69.90,53.12,,,,,,,,,,
5,Whitechapel High St (KFC),533985.0,181426.0,Kerbside,75.4,77.8,Missing,78.2,88.5,75.0,87.2,81.8,86.9,87.7,73.5,73.2,80.47,61.16,,,,,,,,,,
6,Mansell St,533800.0,181021.0,Kerbside,63.6,58.4,No record,65.2,Missing,48.8,71.2,63.9,74.0,71.9,70.2,65.6,65.28,49.61,,,,,,,,,,
7,St Katherine's Way,533992.0,180376.0,Roadside,59.6,Missing,39.3,33.8,33.9,21.7,33.1,30.4,37.6,Missing,41.3,Missing,36.74,27.93,,,,,,,,,,
8,Wapping High St/Sampson St,534444.0,180122.0,Kerbside,47.3,42.5,48.4,40.0,35.4,26.9,37.5,33.5,39.3,48.2,47.4,41.6,40.67,30.91,,,,,,,,,,
9,Cartwright Street,533955.0,180805.0,Kerbside,Missing,50.6,49.7,40.2,42.2,31.1,40.6,39.5,Missing,48.4,40.9,55.2,43.84,33.32,,,,,,,,,,
10,Whitechapel Rd/Adler St,534133.0,181509.0,Kerbside,Missing,58.7,Missng,59.3,Missing,Missing,64.1,52.0,59.1,61.5,73.8,56.4,59.40,45.14,,,,,,,,,,
11,Brick Lane/Princelet St,533866.0,181860.0,Kerbside,54.3,47.0,52.6,48.8,43.2,30.8,42.3,37.6,45.5,50.7,52.2,53.0,46.50,35.34,,,,,,,,,,
12,Buckfast St/Bethnal Green Rd,534259.0,182580.0,Kerbside,54.9,53.9,56.0,46.9,37.9,36.9,43.4,38.2,44.8,48.5,49.2,43.0,46.13,35.06,,,,,,,,,,
13,Squirries St/Gosset St,534313.0,182810.0,Kerbside,Missing,48.1,53.0,43.7,52.5,43.3,55.9,45.1,50.3,54.0,57.1,52.1,50.46,38.35,,,,,,,,,,
14,Warner Place/Hackney Rd,534255.0,183130.0,Kerbside,57.9,53.9,56.4,47.6,47.0,35.7,46.2,42.8,50.8,47.3,54.5,58.9,49.92,37.94,,,,,,,,,,
15,Parmiter St/ Cambridge Heath Road,534881.0,183240.0,Kerbside,Missing,65.0,68.9,50.8,Missing,40.7,62.3,51.9,56.8,66.7,61.0,64.6,58.87,44.74,,,,,,,,,,
16,Paradise Row/Bethnal Green Rd,534959.0,182757.0,Kerbside,60.6,57.7,62.7,60.7,56.7,43.2,53.5,45.0,44.1,49.9,57.6,58.5,54.18,41.18,,,,,,,,,,
17,Finnis St/Three Colts Lane,534783.0,182385.0,Kerbside,47.7,42.0,49.3,39.1,38.5,25.6,36.2,33.9,39.5,44.4,24.5,44.8,38.79,29.48,,,,,,,,,,
18,Sidney St/Mile End Rd,534968.0,181878.0,Roadside,61.0,54.6,58.8,48.4,47.4,41.9,51.8,49.1,53.1,62.3,57.8,52.0,53.18,40.42,,,,,,,,,,
19,Philpot St/Commercial Road,534816.0,181321.0,Kerbside,65.9,58.7,60.7,57.9,48.0,39.7,61.4,52.0,57.9,62.4,67.6,66.7,58.24,44.26,,,,,,,,,,
20,Dellow St/The Highway,534951.0,180779.0,Roadside,78.0,65.0,71.6,68.2,66.0,55.7,77.5,63.0,68.3,66.5,73.3,73.0,68.84,52.32,,,,,,,,,,
21,Queensbridge Rd/Hackney Rd,533985.0,183122.0,Kerbside,Missing,Missing,45.3,47.2,204.8,58.2,136.3,37.4,43.6,47.9,50.0,58.9,72.96,55.45,,,,,,,,,,
22,Wapping Wall/Garnet St,535133.0,180376.0,Kerbside,45.2,50.9,47.6,41.0,39.8,34.5,40.7,33.7,39.8,48.9,47.2,42.8,42.68,32.43,,,,,,,,,,
23,Brodlove Lane,535598.0,180816.0,Kerbside,62.3,54.7,60.5,52.7,51.1,43.4,65.7,53.9,63.3,54.9,57.9,59.0,56.62,43.03,,,,,,,,,,
24,Jubilee Street/Commercial Rd,535174.0,181290.0,Kerbside,Missing,73.2,85.3,66.0,243.8,21.6,80.1,64.8,70.3,77.7,66.6,73.3,83.88,63.75,,,,,,,,,,
25,Cavell St/Stepney Way,534884.0,181667.0,Kerbside,66.4,55.3,49.5,46.6,47.6,36.3,51.7,50.6,57.2,58.3,57.0,61.1,53.13,40.38,,,,,,,,,,
26,Hannibal Rd/Mile End Rd,535386.0,182021.0,Kerbside,66.4,59.9,57.1,48.1,52.3,43.7,62.4,56.4,67.2,58.0,55.4,63.3,57.52,43.71,,,,,,,,,,
27,Roman Rd/Globe Road,535296.0,182793.0,Kerbside,Missing,54.1,58.6,48.7,37.7,44.8,44.8,40.1,38.7,48.9,55.7,52.0,47.65,36.21,,,,,,,,,,
28,Bonner Road,535356.0,183223.0,Kerbside,53.4,48.7,50.6,44.4,48.9,34.6,47.4,44.1,51.2,53.2,52.0,60.9,49.12,37.33,,,,,,,,,,
29,Grove Rd/Old Ford Rd,535930.0,183385.0,Kerbside,58.4,55.2,66.5,50.4,56.0,42.1,58.4,48.3,55.5,60.5,69.0,51.2,55.96,42.53,,,,,,,,,,
30,Fieldgate Street,534239.0,181565.0,Kerbside,55.1,61.1,71.3,80.3,60.9,59.9,57.3,47.6,48.7,58.4,69.6,51.2,60.12,45.69,,,,,,,,,,
31,Whitechapel Market,534516.0,181744.0,Roadside,93.4,68.0,84.1,57.1,90.5,70.9,101.7,84.1,92.8,77.3,83.8,88.2,82.66,62.82,,,,,,,,,,
32,Globe Rd/Mile End Rd,535634.0,182148.0,Kerbside,71.0,63.9,49.2,62.2,67.0,58.2,71.7,59.3,66.7,66.3,64.2,60.3,63.33,48.13,,,,,,,,,,
33,Stepney Green,535545.0,181604.0,Urban background,93.3,40.7,41.4,31.9,105.2,Missing,33.4,30.5,38.6,44.5,51.1,52.6,51.20,38.91,,,,,,,,,,
34,Pitsea St/Commercial Rd,535797.0,181164.0,Kerbside,Missing,49.3,63.2,36.9,52.5,42.5,50.5,41.1,49.2,50.6,53.5,51.1,49.13,37.34,,,,,,,,,,
35,Narrow St/Limehouse Link,535977.0,180879.0,Roadside,Missing,Missing,129.7,134.4,91.5,118.0,115.8,102.3,104.2,118.0,106.0,108.3,112.82,85.74,,,,,,,,,,
36,Locksley St/St Paul's Way,536704.0,181647.0,Kerbside,49.2,52.3,55.0,47.2,43.6,40.3,40.9,34.1,43.0,48.5,50.8,51.4,46.36,35.23,,,,,,,,,,
37,Rhodeswell Rd,536577.0,181379.0,Kerbside,49.7,51.3,53.6,45.1,45.3,37.9,42.2,38.3,38.0,44.0,45.3,47.3,44.83,34.07,,,,,,,,,,
38,Ben Johnson Road,536080.0,181721.0,Kerbside,50.1,46.9,27.3,48.8,49.8,41.2,45.6,42.6,49.7,50.4,53.5,60.2,47.18,35.85,,,,,,,,,,
39,Harford St/Mile End Rd,536089.0,182258.0,Roadside,59.8,56.4,64.7,53.4,58.7,58.7,51.1,42.6,50.4,54.1,49.9,57.2,54.75,41.61,,,,,,,,,,
40,Thoydon Rd,536105.0,183049.0,Kerbside,Missing,47.7,54.9,46.5,Missing,34.5,46.8,40.3,49.8,53.0,49.3,54.3,47.71,36.26,,,,,,,,,,
41,Ford Close/Roman Rd,536457.0,183301.0,Roadside,55.7,54.7,55.5,35.1,52.9,52.1,51.0,41.1,55.4,47.2,50.1,48.7,49.96,37.97,,,,,,,,,,
42,Victoria Park (Co-location site),536494.0,184170.0,Urban background,33.3,33.3,33.6,27.9,23.7,19.4,22.3,22.4,27.0,30.7,36.4,39.3,29.11,22.12,,,,,,,,,,
43,Victoria Park (Co-location site),536494.0,184170.0,Urban background,33.6,33.6,33.2,28.2,24.2,19.8,23.4,23.1,28.7,26.7,32.6,37.4,28.71,21.82,,,,,,,,,,
44,Parnell Rd/Old Ford Rd,536875.0,183740.0,Kerbside,48.5,58.3,56.6,53.1,48.4,38.5,43.3,Missing,52.5,54.7,1.1,51.7,46.06,35.01,,,,,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713.0,183070.0,Kerbside,62.3,61.2,39.3,55.3,49.6,41.2,52.5,280.4,51.6,60.2,62.5,63.2,73.28,55.69,,,,,,,,,,
46,Rhondda Grove/Mile End Rd,536542.0,182589.0,Kerbside,Missing,54.6,140.2,80.2,43.7,Missing,28.8,Missing,46.9,50.4,Missing,56.1,61.40,46.66,,,,,,,,,,
47,Wentworth Mews,536452.0,182454.0,Kerbside,63.0,67.2,70.9,58.3,73.8,51.8,67.8,60.3,53.9,63.8,65.4,68.4,63.72,48.42,,,,,,,,,,
48,Ackroyd Drive,536768.0,181772.0,Kerbside,49.8,43.2,56.3,47.3,46.2,38.8,50.3,48.8,50.8,51.8,54.1,55.1,49.38,37.53,,,,,,,,,,
49,Dod St/Burdett Rd,537049.0,181292.0,Kerbside,53.5,51.9,50.8,44.6,35.6,30.0,37.6,35.3,39.7,43.6,44.4,48.0,42.92,32.62,,,,,,,,,,
50,Rich Street,536937.0,180987.0,Roadside,110.5,57.9,52.6,47.8,49.6,43.8,48.1,45.8,50.9,51.8,51.7,52.5,55.25,41.99,,,,,,,,,,
51,Watney Market,534938.0,181257.0,Roadside,47.6,47.5,54.5,43.3,40.7,35.9,40.2,34.4,43.0,49.0,38.7,48.2,43.58,33.12,,,,,,,,,,
52,Wick Lane/Autumn St,537304.0,183619.0,Kerbside,Missing,57.6,57.9,57.5,49.7,39.7,53.9,47.3,49.1,54.6,58.0,56.4,52.88,40.19,,,,,,,,,,
53,Fairfield Road/Tredegar Road ,537159.0,183415.0,Kerbside,64.5,51.8,54.8,50.0,46.8,36.1,60.4,55.4,54.7,62.2,64.2,65.4,55.53,42.20,,,,,,,,,,
54,Bow Rd /Glebe Terrace,537525.0,182887.0,Kerbside,Missing,60.9,62.8,55.0,134.1,74.9,88.0,75.5,79.8,77.7,91.1,74.0,79.44,60.37,,,,,,,,,,
55,TH Cemetery Park,536732.0,182361.0,Roadside,39.8,33.4,28.4,30.2,27.7,21.1,24.9,25.0,30.9,30.4,33.4,36.6,30.15,22.91,,,,,,,,,,
56,Bow Common Lane/St Paul's Way,537248.0,181820.0,Kerbside,58.7,49.0,53.4,46.0,43.5,34.6,51.1,46.4,46.9,47.9,51.6,52.8,48.49,36.85,,,,,,,,,,
57,Augusta St/Giraud St,537516.0,181392.0,Kerbside,Missing,41.3,44.5,38.0,31.4,24.4,29.5,29.5,32.0,37.8,45.8,44.3,36.23,27.53,,,,,,,,,,
