,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,,,,,,
For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.airqualityengland.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Average,Annualised & Bias Adjusted Average *,,,,,,,,
1,Colombia Rd/Gossett Street,533883.0,182815.0,Kerbside,54.9,55.6,46.7,38.2,36.9,31.6,33.2,36.9,40.8,40.1,56.8,52.1,43.65,32.74,,,,,,,,
2,Calvert Ave/Boundary Street,533507.0,182569.0,Kerbside,Missing,59.2,48.5,40.5,35.8,37.1,39.8,44.4,42.8,47.6,53.9,58.7,46.21,34.66,,,,,Meeting annual Air Quality Objective,,,
3,Bethnal Green Rd/ Brick Lane,533860.0,182442.0,Kerbside,52.4,65.7,52.7,40.5,47.5,34.9,38.6,46.3,43.3,48.1,55.8,59.5,48.78,36.58,,,,,Exceeding annual Air Quality Objective,,,
4,Commercial St/Calvin St,533611.0,182037.0,Kerbside,72.0,71.8,65.8,71.0,68.9,53.0,52.8,52.2,56.0,61.2,75.9,66.9,63.96,47.97,,,,,,,,
5,Whitechapel High St (KFC),533985.0,181426.0,Kerbside,57.3,80.9,77.8,60.5,59.1,55.4,53.8,58.3,61.3,61.3,71.3,68.5,63.79,47.84,,,,,,,,
6,Mansell St,533800.0,181021.0,Kerbside,59.5,73.8,67.7,54.2,53,47.7,51.3,57.1,60.2,62.5,68.5,69.7,60.43,45.33,,,,,,,,
7,St Katherine's Way,533992.0,180376.0,Roadside,47.1,46.2,38.6,37.0,28.2,26.8,26.1,31.4,33.2,38.3,51.8,47.0,37.64,28.23,,,,,,,,
8,Wapping High St/Sampson St,534444.0,180122.0,Kerbside,48.5,49.7,40.0,38.5,29.2,27.6,30.5,34.8,34.8,39.8,54,49.6,39.75,29.81,,,,,,,,
9,Cartwright Street,533955.0,180805.0,Kerbside,59.7,53.4,51.2,41.1,44,31.1,31.9,39.2,37.7,40.3,54.6,55.5,44.98,33.73,,,,,,,,
