,,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2020,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,,,,
For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.airqualityengland.co.uk,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,"* National bias-adjustment factor: 0.77as per 03/2021(SOCOTEC Didcot, 50% TEA in acetone):",,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Average,Annualised & Bias Adjusted Average *,,,,,,
1,Colombia Rd/Gossett Street,533883.0,182815.0,Kerbside,46.2,41.6,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,26.3,30.6,35.9,41.8,38.3,37.24,24.90,annualised,,Meeting annual Air Quality Objective,,,
2,Calvert Ave/Boundary Street,533507.0,182569.0,Kerbside,50.3,44.2,,,,,,29.2,31.8,missing,38.7,38.3,38.75,26.00,annualised,,Exceeding annual Air Quality Objective,,,
3,Bethnal Green Rd/ Brick Lane,533860.0,182442.0,Kerbside,48.0,47.2,,,,,,31.8,33.3,38.8,41.6,39.0,39.96,27.40,annualised,,,,,
4,Commercial St/Calvin St,533611.0,182037.0,Kerbside,57.8,47.7,,,,,,45.2,47.1,45.5,50.5,54.9,49.81,34.20,annualised,,,,,
5,Whitechapel High St (KFC),533985.0,181426.0,Kerbside,63.3,56.2,,,,,,missing ,49.0,50.6,48.5,39.3,51.15,33.90,annualised,,,,,
6,Mansell St,533800.0,181021.0,Kerbside,66.5,61.8,,,,,,47.5,46.1,44.8,45.9,46.4,51.29,35.20,annualised,,,,,
7,St Katherine's Way,533992.0,180376.0,Roadside,37.8,31.7,,,,,,20.2,23.2,29.6,35.2,25.6,29.04,19.90,annualised,,,,,
8,Wapping High St/Sampson St,534444.0,180122.0,Kerbside,34.2,31.7,,,,,,22.5,25.6,30.6,37.2,38.1,31.41,21.60,annualised,,,,,
9,Cartwright Street,533955.0,180805.0,Kerbside,44.3,40.4,,,,,,25.8,27.9,33.5,42.6,37.7,36.03,24.70,annualised,,,,,
10,Whitechapel Rd/Adler St,534133.0,181509.0,Kerbside,48.0,42.8,,,,,,36.9,38.9,41.8,44,41.9,42.04,28.90,annualised,,,,,
11,Brick Lane/Princelet St,533866.0,181860.0,Kerbside,41.9,37.8,,,,,,30,missing,31.3,38.1,37.2,36.05,24.40,annualised,,,,,
12,Buckfast St/Bethnal Green Rd,534259.0,182580.0,Kerbside,44.2,40.6,,,,,,28.7,31.1,28.3,36.8,37.5,35.31,24.20,annualised,,,,,
13,Squirries St/Gosset St,534313.0,182810.0,Kerbside,45.5,38.3,,,,,,33.8,38.1,35.2,41.9,43.7,39.50,27.10,annualised,,,,,
14,Warner Place/Hackney Rd,534255.0,183130.0,Kerbside,55.0,44.0,,,,,,27.1,29.9,32.8,37.3,34.0,37.16,25.50,annualised,,,,,
15,Parmiter St/ Cambridge Heath Road,534881.0,183240.0,Kerbside,55.9,45.7,,,,,,36.1,39.6,41.3,44.8,45.5,44.13,30.30,annualised,,,,,
16,Paradise Row/Bethnal Green Rd,534959.0,182757.0,Kerbside,52.7,48.3,,,,,,33.3,32.6,38.4,37.7,43.4,40.91,28.10,annualised,,,,,
17,Finnis St/Three Colts Lane,534783.0,182385.0,Kerbside,34.0,30.0,,,,,,24.1,28.2,31.4,31.5,37.3,30.93,21.20,annualised,,,,,
18,Sidney St/Mile End Rd,534968.0,181878.0,Roadside,47.3,46.8,,,,,,37.4,38.2,40,42.4,46.9,42.71,29.30,annualised,,,,,
19,Philpot St/Commercial Road,534816.0,181321.0,Kerbside,54.6,54.0,,,,,,39.4,35.5,38.9,43.6,50.2,45.17,31.00,annualised,,,,,
20,Dellow St/The Highway,534951.0,180779.0,Roadside,47.8,47.6,,,,,,46.5,47.5,53.9,55,51.1,49.91,34.30,annualised,,,,,
21,Queensbridge Rd/Hackney Rd,533985.0,183122.0,Kerbside,46.1,43.9,,,,,,28.4,32.4,36.3,40.6,39.3,38.14,26.20,annualised,,,,,
22,Wapping Wall/Garnet St,535133.0,180376.0,Kerbside,42.1,32.8,,,,,,25.6,30.0,33,36,38.5,34.00,23.30,annualised,,,,,
23,Brodlove Lane,535598.0,180816.0,Kerbside,49.3,46.7,,,,,,37,missing,43.7,43.5,43.3,43.92,29.70,annualised,,,,,
24,Jubilee Street/Commercial Rd,535174.0,181290.0,Kerbside,47.2,36.8,,,,,,51.2,55.3,45.3,51.7,51.0,48.36,33.20,annualised,,,,,
25,Cavell St/Stepney Way,534884.0,181667.0,Kerbside,60.0,47.0,,,,,,30.7,33.8,41.3,47.5,44.8,43.59,29.90,annualised,,,,,
26,Hannibal Rd/Mile End Rd,535386.0,182021.0,Kerbside,53.9,49.0,,,,,,missing,missing,missing,43.2,42.5,47.15,29.20,annualised,,,,,
27,Roman Rd/Globe Road,535296.0,182793.0,Kerbside,42.6,35.2,,,,,,33.5,30.0,34.8,44.3,43.1,37.64,25.80,annualised,,,,,
28,Bonner Road,535356.0,183223.0,Kerbside,36.8,35.6,,,,,,32,38.0,34.6,40.7,44.0,37.39,25.70,annualised,,,,,
29,Grove Rd/Old Ford Rd,535930.0,183385.0,Kerbside,51.8,44.8,,,,,,32.3,38.7,28.9,41.9,missing,39.73,27.50,annualised,,,,,
30,Fieldgate Street,534239.0,181565.0,Kerbside,41.4,41.8,,,,,,35.6,36.4,39.3,43.1,44.3,40.27,27.70,annualised,,,,,
31,Whitechapel Market,534516.0,181744.0,Roadside,65.7,58.5,,,,,,57.5,59.4,59.1,55.6,56.1,58.84,40.40,annualised,,,,,
32,Globe Rd/Mile End Rd,535634.0,182148.0,Kerbside,47.6,40.3,,,,,,42.6,43.0,40.8,42.9,45.1,43.19,29.70,annualised,,,,,
33,Stepney Green,535545.0,181604.0,Urban background,40.3,34.7,,,,,,24.9,30.1,32.7,38.5,38.0,34.17,23.50,annualised,,,,,
34,Pitsea St/Commercial Rd,535797.0,181164.0,Kerbside,46.0,37.7,,,,,,31.5,34.8,32.9,41,44.0,38.27,26.30,annualised,,,,,
35,Narrow St/Limehouse Link,535977.0,180879.0,Roadside,87.1,75.6,,,,,,86.3,86.6,70.2,79.8,68.8,79.20,54.40,annualised,,,,,
36,Locksley St/St Paul's Way,536704.0,181647.0,Kerbside,44.7,missing,,,,,,32.1,33.5,35.6,42,39.2,37.85,26.00,annualised,,,,,
37,Rhodeswell Rd,536577.0,181379.0,Kerbside,42.0,29.3,,,,,,32.0,30.1,31.6,36.6,37.5,34.16,26.50,annualised,,,,,
38,Ben Johnson Road,536080.0,181721.0,Kerbside,43.5,37.9,,,,,,37.3,41.7,41.8,45.6,45.0,41.83,28.70,annualised,,,,,
39,Harford St/Mile End Rd,536089.0,182258.0,Roadside,44.2,31.8,,,,,,34.5,40.5,38.2,40.4,39.3,38.41,26.40,annualised,,,,,
40,Thoydon Rd,536105.0,183049.0,Kerbside,missing,1.4,,,,,,30.8,29.4,30.1,41.8,36.8,missing,24.20,annualised,,,,,
