,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,
,,,,For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.airqualityengland.co.uk,,,,,,,,,,,,,,,,,"* National Bias Adjustment factor
= 0.76 as per 03/2023 (SOCOTEC Didcot, 50% TEA in acetone)


= 0.76 as per 03/2023 (SOCOTEC Didcot, 50% TEA in acetone)",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Valid data
capture",Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,"Annual
mean","Annualised & Bias Adjusted Average 
*",,,,,,
1,Colombia Rd/Gossett Street,533883.0,182815.0,Kerbside,92,42.6,31.4,32.9,18.6,19.7,17.3,17.4,missing ,20.4,27.4,21.4,40.0,26.28,19.97,,,Meeting annual Air Quality Objective,,,
2,Calvert Ave/Boundary Street,533507.0,182569.0,Kerbside,92,45.8,33.5,30.4,24.4,missing,21.4,19.7,19.4,22.2,32.6,24.8,36.1,28.21,21.44,,,Exceeding annual Air Quality Objective,,,
3,Bethnal Green Rd/ Brick Lane,533860.0,182442.0,Kerbside,67,48.9,40.0,35.0,missing,36.6,27.7,26.4,23.6,missing,missing,34.4,missing,34.08,26.40,annualised,,,,,
4,Commercial St/Calvin St,533611.0,182037.0,Kerbside,67,53.2,43.7,47.6,39.4,missing,33.6,35.5,33.5,missing,31.7,missing,missing,39.78,30.40,annualised,,,,,
5,Whitechapel High St (KFC),533985.0,181426.0,Kerbside,100,66.7,57.2,49.8,46.6,46,41.9,42.1,36.6,45.9,53.8,42.3,51.9,48.40,36.78,,,,,,
6,Mansell St,533800.0,181021.0,Kerbside,100,53.0,44.6,45.9,38.8,36.9,35.6,33.5,32.9,39.3,49.5,47.2,49,42.18,32.06,,,,,,
7,St Katherine's Way,533992.0,180376.0,Roadside,33,46.5,29.8,missing,22.5,missing,missing ,missing,missing ,23.2,missing,missing,missing,30.50,25.40,annualised,,,,,
8,Wapping High St/Sampson St,534444.0,180122.0,Kerbside,100,46.4,29.3,33.9,25.1,19.4,20.5,19.9,20.5,25.7,29.4,24.3,39.9,27.86,21.17,,,,,,
9,Cartwright Street,533955.0,180805.0,Kerbside,75,47.4,33.5,34.2,27.5,25.3,22.5,20.2,missing ,nul,missing,22.3,37.4,30.03,22.83,,,,,,
10,Whitechapel Rd/Adler St,534133.0,181509.0,Kerbside,67,50.7,37.0,41.6,34.7,28.5,missing ,56,missing ,33.5,38.4,missing,missing,40.05,30.50,annualised,,,,,
11,Brick Lane/Princelet St,533866.0,181860.0,Kerbside,75,47.3,31.2,37.0,26.5,22,21.5,missing,21.9,missing,32.5,missing,42.0,31.32,23.80,,,,,,
12,Buckfast St/Bethnal Green Rd,534259.0,182580.0,Kerbside,100,38.5,32.3,34.4,28.9,25.4,21.5,27,24.3,26.8,30.5,25.8,36.6,29.33,22.29,,,,,,
13,Squirries St/Gosset St,534313.0,182810.0,Kerbside,92,48.1,31.1,38.4,29.0,25.8,24.7,23.5,missing ,24.9,33.4,24,41.4,34.35,26.10,,,,,,
14,Warner Place/Hackney Rd,534255.0,183130.0,Kerbside,92,46.6,34.2,38.9,29.1,26.2,24.7,24.4,missing ,39.2,39.6,31.5,43.4,34.35,26.10,,,,,,
15,Parmiter St/ Cambridge Heath Road,534881.0,183240.0,Kerbside,92,60.6,38.2,38.8,34.8,28,25.2,28.7,31.3,missing,36.2,27.6,47.5,36.08,27.42,,,,,,
16,Paradise Row/Bethnal Green Rd,534959.0,182757.0,Kerbside,83,50.4,38.9,41.8,32.2,28.8,27.2,missing,29.7,missing,38.4,37.7,48.0,37.31,28.36,,,,,,
17,Finnis St/Three Colts Lane,534783.0,182385.0,Kerbside,92,44.2,27.2,missing,24.9,22.0,18.8,19.1,20.1,23.9,27.8,29.2,39.7,26.99,20.51,,,,,,
18,Sidney St/Mile End Rd,534968.0,181878.0,Roadside,100,54.8,38.5,38.9,32.9,28.9,30.2,29.6,27.3,34.8,39.2,26.4,50.2,34.30,26.10,,,,,,
19,Philpot St/Commercial Road,534816.0,181321.0,Kerbside,100,62.2,45.0,48.6,33.0,32.1,29.7,30.7,30.5,33.4,42.6,35.4,42.2,38.78,29.48,,,,,,
20,Dellow St/The Highway,534951.0,180779.0,Roadside,100,64.9,58.9,59.9,43.0,45.8,44.3,45.1,43.6,42.3,53,50.6,45.1,49.71,37.78,,,,,,
21,Queensbridge Rd/Hackney Rd,533985.0,183122.0,Kerbside,100,48.4,35.6,34.8,28.0,26.9,25.3,25.3,27.3,27.8,35.4,27.7,42.2,32.06,24.36,,,,,,
22,Wapping Wall/Garnet St,535133.0,180376.0,Kerbside,100,51.8,29.8,43.1,31.3,24.4,21.8,22.9,25.1,29.8,30.1,24.7,40.8,31.30,23.79,,,,,,
23,Brodlove Lane,535598.0,180816.0,Kerbside,92,51.6,39.9,42.0,missing,35,34.7,34.3,31.5,35.0,42.1,35.8,40.9,38.44,29.21,,,,,,
24,Jubilee Street/Commercial Rd,535174.0,181290.0,Kerbside,100,62.3,46.5,52.8,44.0,36.3,37.8,43.1,44.7,50.4,43.5,39.1,49.2,45.81,34.81,,,,,,
25,Cavell St/Stepney Way,534884.0,181667.0,Kerbside,67,52.2,38.7,38.3,30.4,26.8,missing ,missing,missing ,33.5,44.5,missing,53.3,39.71,29.40,annualised,,,,,
26,Hannibal Rd/Mile End Rd,535386.0,182021.0,Kerbside,100,52.8,38.8,34.4,30.1,29.6,29.3,29.4,27.3,32.5,34.9,27.1,41.3,33.96,25.81,,,,,,
27,Roman Rd/Globe Road,535296.0,182793.0,Kerbside,92,50.5,32.1,42.0,31.9,26.2,20.2,20.1,26.8,29.6,missing,31.6,39.8,31.89,24.24,,,,,,
28,Bonner Road,535356.0,183223.0,Kerbside,100,61.3,46.0,42.9,38.0,42.2,39.6,31.2,46.5,43.0,45.4,41,52.6,42.50,32.30,,,,,,
29,Grove Rd/Old Ford Rd,535930.0,183385.0,Kerbside,92,48.7,35.6,38.1,29.6,26.8,28.8,27.4,30.6,31.3,39.5,nul,47.2,34.87,26.50,,,,,,
30,Fieldgate Street,534239.0,181565.0,Kerbside,92,50.3,37.8,48.6,36.8,27,28.7,missing,33.5,32.4,41.2,37.8,42.0,37.83,28.75,,,,,,
31,Whitechapel Market,534516.0,181744.0,Roadside,100,65.6,51.7,50.1,51.8,46.3,47.7,45.8,50.1,52.6,51.4,35.9,44.4,49.45,37.58,,,,,,
32,Globe Rd/Mile End Rd,535634.0,182148.0,Kerbside,100,56.4,40.8,45.9,40.3,33.4,34.2,33.6,38.5,39.8,41.2,38.2,45.1,40.62,30.87,,,,,,
33,Stepney Green,535545.0,181604.0,Urban background,100,46.2,31.8,37.8,25.5,19.8,19.0,19.2,19.9,24.3,27.1,26.8,31.8,27.43,20.85,,,,,,
34,Pitsea St/Commercial Rd,535797.0,181164.0,Kerbside,92,nul,37.8,38.9,30.4,25.9,25.9,29.7,25.4,31.1,35,39.7,40.8,32.78,24.91,,,,,,
35,Narrow St/Limehouse Link,535977.0,180879.0,Roadside,100,88.1,71.7,91.0,86.9,71.7,69.6,87.9,78.5,84.9,68,58.4,80.7,78.12,59.37,,,,,,
36,Locksley St/St Paul's Way,536704.0,181647.0,Kerbside,92,46.8,28.2,41.1,29.8,22.4,21.0,24.6,26.4,11.1,missing,18.3,38.9,28.05,21.32,,,,,,
37,Rhodeswell Rd,536577.0,181379.0,Kerbside,100,50.1,35.9,39.1,25.8,21.8,22.1,23.7,24.4,28.7,34.4,29.7,38.9,31.22,23.72,,,,,,
38,Ben Johnson Road,536080.0,181721.0,Kerbside,100,55.3,35.9,42.1,32.6,25.7,28.4,31.6,34.8,33.1,33,34.9,43.0,35.87,27.26,,,,,,
39,Harford St/Mile End Rd,536089.0,182258.0,Roadside,100,43.7,35.2,49.5,39.2,26.7,27.0,30.7,34.2,33.4,33.1,34.8,40.3,35.65,27.09,,,,,,
40,Thoydon Rd,536105.0,183049.0,Kerbside,100,50.2,40.1,35.6,28.2,23,19.9,24.9,25.3,27.4,33.4,26.9,40.6,31.29,23.78,,,,,,
41,Ford Close/Roman Rd,536457.0,183301.0,Roadside,100,51.8,35.4,43.7,38.3,29.8,26.8,32.5,35.7,35.2,41.2,26.2,45.3,36.83,27.99,,,,,,
42,Victoria Park (Co-location site),536494.0,184170.0,Urban background,92,32.5,22.0,missing,12.6,14.9,12.7,14.4,17.1,19.2,13.3,20.3,30.2,19.02,14.45,,,,,,
43,Victoria Park (Co-location site),536494.0,184170.0,Urban background,75,32.1,20.7,missing,12.6,15,14.6,16.9,20.5,17.8,missing,18.4,missing,18.73,14.24,,,,,,
44,Parnell Rd/Old Ford Rd,536875.0,183740.0,Kerbside,92,52.4,35.8,42.8,31.3,26.9,missing ,28.8,30.4,34.6,39,38.4,42.2,36.60,27.82,,,,,,
45,St Stephen's Rd/Tredegar Rd,536713.0,183070.0,Kerbside,100,56.8,39.0,46.0,32.6,28.8,30.8,31.1,33.5,36.1,38.7,30,49.9,37.78,28.71,,,,,,
46,Rhondda Grove/Mile End Rd,536542.0,182589.0,Kerbside,83,39.3,32.6,37.5,28.2,missing,22.8,23.9,25,missing,34.6,35,38.8,31.77,24.15,,,,,,
47,Wentworth Mews,536452.0,182454.0,Kerbside,100,55.8,38.6,47.8,38.4,30.1,29.0,31.4,36.7,42.4,39.8,23.3,44.6,38.16,29.00,,,,,,
48,Ackroyd Drive,536768.0,181772.0,Kerbside,92,58.5,39.5,39.1,missing,29.1,30.6,33.3,30.3,38.7,42.4,26.7,44.3,37.50,28.50,,,,,,
49,Dod St/Burdett Rd,537049.0,181292.0,Kerbside,92,40.7,30.2,33.7,23.8,22.5,17.0,19.7,missing ,21.9,30.1,28.1,35.6,27.57,20.96,,,,,,
50,Rich Street,536937.0,180987.0,Roadside,92,51.9,34.7,43.1,42.3,30,27.5,missing,32.2,37.0,33.6,37.5,44.5,37.66,28.62,,,,,,
51,Watney Market,534938.0,181257.0,Roadside,100,46.7,31.6,31.4,26.6,25.2,23.4,22.4,23.8,29.3,32.5,34.5,36.3,30.31,23.03,,,,,,
52,Wick Lane/Autumn St,537304.0,183619.0,Kerbside,92,48.4,34.6,44.2,32.8,28.6,29.9,34.9,34.9,40.8,41.2,43.9,missing,37.65,28.62,,,,,,
53,Fairfield Road/Tredegar Road ,537159.0,183415.0,Kerbside,92,57.6,40.3,46.7,39.3,missing,34.8,37.7,42.2,39.6,43.1,34,47.4,42.06,31.97,,,,,,
54,Bow Rd /Glebe Terrace,537525.0,182887.0,Kerbside,100,66.5,49.0,61.0,49.9,44.6,49.1,51.3,53.8,52.5,62,47.3,63.3,54.19,41.19,,,,,,
55,TH Cemetery Park,536732.0,182361.0,Roadside,100,36.1,26.8,27.2,17.8,16.1,15.4,16.2,17.4,18.5,21.2,19.5,28.3,21.71,16.50,,,,,,
56,Bow Common Lane/St Paul's Way,537248.0,181820.0,Kerbside,92,52.0,missing ,41.7,26.7,27.2,27.7,25.8,28.3,31.7,37.2,34.3,34.2,33.35,25.34,,,,,,
57,Augusta St/Giraud St,537516.0,181392.0,Kerbside,100,43.6,26.2,40.0,23.9,20,19.6,20.7,18.4,26.7,28.9,27,36.5,27.63,21.00,,,,,,
58,Dolphin Lane,537539.0,180688.0,Kerbside,83,45.7,30.0,36.2,26.7,21.1,20.8,23.4,missing ,23.9,31,nul,35.7,29.45,22.38,,,,,,
59,Westferry Road/Limehouse Link jnct,537100.0,180791.0,Kerbside,83,49.0,31.8,45.0,33.7,27.6,25.8,32.5,missing ,missing,31.3,40,40.8,35.75,27.17,,,,,,
60,"Cascades, Westferry Road",537115.0,180074.0,Kerbside,100,57.0,41.3,49.4,41.0,32.6,30.3,35,35.1,38.2,41.6,30.6,49.7,40.15,30.51,,,,,,
61,Bow Rd/Alfred St,537056.0,182773.0,Kerbside,100,52.8,35.4,35.0,27.2,25.4,21.7,24.7,25.6,28.4,33.8,34.5,41.6,32.18,24.45,,,,,,
62,Mast House Terrace,537348.0,178690.0,Kerbside,100,49.8,32.1,47.7,30.9,27.6,24.3,23.2,25.9,30.5,39.8,21.5,44.7,33.17,25.21,,,,,,
63,Millwall Park,538246.0,178689.0,Urban background,83,42.3,27.5,29.4,21.7,18.6,16.9,15.3,missing ,17.7,missing,22.5,33.3,24.52,18.64,,,,,,
64,Limeharbour,537953.0,179357.0,Kerbside,100,60.7,41.2,58.6,47.3,39.9,37.2,42.5,38.3,43.2,37.2,33,46.0,43.76,33.26,,,,,,
