,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tower Hamlets Nitrogen Dioxide Diffusion Tube Results 2024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Please note that these results are NOT bias adjusted. Bias adjustment is likely to reduce the value by approximately 25%,,,,,,,,,,,,,,,,,,,,,
,,,,The annual Air Quality Objective for Nitrogen Dioxide is 40µgm-3.,,,,,,,,,,,,,,,,,,,,,
,,,,For more information and monitoring results of other pollutants from our permanent monitoring stations please see www.airqualityengland.co.uk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,Results µgm-3,,,,,,,,
Site no,Location,Grid squaresX,Grid squaresY,Site Type,"Valid data
capture",Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,"Annual
mean","Annualised & Bias Adjusted Average 
*",,,,,,
1,Colombia Rd/Gossett Street,533883.0,182815.0,Kerbside,,27.90,30.00,21.30,17.10,17.70,15.10,17.50,15.30,19.70,17.80,31.20,24.00,21.22,15.91,,,,,,
2,Calvert Ave/Boundary Street,533507.0,182569.0,Kerbside,,29.70,26.50,21.70,18.90,19.20,17.70,19.90,18.50,18.90,20.20,21.10,23.40,21.31,15.98,,,,,,
3,Bethnal Green Rd/ Brick Lane,533860.0,182442.0,Kerbside,,40.00,missing,30.10,21.70,missing,missing,28.60,28.30,28.30,missing,37.90,30.90,30.73,23.04,,,,,,
4,Commercial St/Calvin St,533611.0,182037.0,Kerbside,,39.10,38.50,37.10,31.40,33.50,28.50,32.60,28.70,32.10,40.70,42.30,31.40,34.66,25.99,,,,,,
5,Whitechapel High St (KFC),533985.0,181426.0,Kerbside,,41.10,45.80,43.60,38.60,40.60,36.80,38.90,39.40,41.40,37.10,45.60,missing,40.81,30.61,,,,,,
6,Mansell St,533800.0,181021.0,Kerbside,,41.10,43.20,42.20,30.50,37.10,31.90,31.40,29.10,34.60,37.00,missing,missing,35.81,26.86,,,,,,
7,St Katherine's Way,533992.0,180376.0,Roadside,,26.10,21.50,missing,18.20,19.40,missing,missing,missing,missing,missing,30.70,missing,23.18,17.39,,,,,,
8,Wapping High St/Sampson St,534444.0,180122.0,Kerbside,,26.50,28.00,25.10,missing,21.70,16.60,21.80,20.70,21.70,25.30,33.30,15.40,23.28,17.46,,,,,,
9,Cartwright Street,533955.0,180805.0,Kerbside,,missing,21.00,24.30,20.60,22.90,17.90,20.40,18.50,19.60,28.20,33.20,20.00,22.42,16.81,,,,,,
10,Whitechapel Rd/Adler St,534133.0,181509.0,Kerbside,,33.40,missing,69.70,64.30,32.90,28.60,28.70,30.80,33.40,missing,39.90,32.00,39.37,29.53,,,,,,
11,Brick Lane/Princelet St,533866.0,181860.0,Kerbside,,31.20,30.90,26.80,22.60,24.00,missing,22.00,missing,12.90,24.10,27.40,25.60,24.75,18.56,,,,,,
12,Buckfast St/Bethnal Green Rd,534259.0,182580.0,Kerbside,,27.60,30.00,25.20,19.80,24.30,11.10,22.30,18.40,24.80,26.10,31.20,17.40,23.18,17.39,,,,,,
13,Squirries St/Gosset St,534313.0,182810.0,Kerbside,,16.70,missing,27.70,21.90,22.30,20.60,25.10,22.30,25.50,27.00,34.20,23.50,24.25,18.19,,,,,,
14,Warner Place/Hackney Rd,534255.0,183130.0,Kerbside,,31.00,33.90,29.70,24.10,28.00,25.20,30.60,25.00,31.30,33.60,32.50,31.00,29.66,22.24,,,,,,
15,Parmiter St/ Cambridge Heath Road,534881.0,183240.0,Kerbside,,38.10,32.20,29.60,26.00,30.40,26.50,26.90,21.70,32.10,31.90,40.80,28.80,30.42,22.81,,,,,,
16,Paradise Row/Bethnal Green Rd,534959.0,182757.0,Kerbside,,26.10,34.00,35.30,22.30,20.00,22.60,26.70,21.70,26.00,28.90,32.80,23.40,26.65,19.99,,,,,,
17,Finnis St/Three Colts Lane,534783.0,182385.0,Kerbside,,25.00,25.10,20.50,11.00,18.90,15.50,16.70,15.90,19.40,24.20,27.00,12.50,19.31,14.48,,,,,,
18,Sidney St/Mile End Rd,534968.0,181878.0,Roadside,,37.00,36.70,34.70,28.90,30.30,28.10,28.10,29.00,38.90,missing,34.70,34.80,32.84,24.63,,,,,,
19,Philpot St/Commercial Road,534816.0,181321.0,Kerbside,,24.40,37.60,33.60,23.40,27.50,28.90,24.20,26.30,27.40,33.00,missing,28.60,28.63,21.47,,,,,,
20,Dellow St/The Highway,534951.0,180779.0,Roadside,,36.30,43.30,39.70,27.70,26.60,39.00,33.70,37.00,32.10,missing,39.20,31.40,35.09,26.32,,,,,,
21,Queensbridge Rd/Hackney Rd,533985.0,183122.0,Kerbside,,33.10,32.10,27.20,21.90,25.70,19.70,26.60,19.90,24.70,28.20,34.40,29.50,26.92,20.19,,,,,,
22,Wapping Wall/Garnet St,535133.0,180376.0,Kerbside,,25.20,24.50,missing,15.40,19.40,14.30,17.30,15.60,20.60,25.20,28.80,23.50,20.89,15.67,,,,,,
