month,location,grid_squaresX,grid_squaresY,aq,utctimestamp,period,test_period
May-15,Colombia Rd/Gossett Street,533883,182815,28.0,2015-05-01,before,
May-15,Hannibal Rd/Mile End Rd,535392,182010,59.0,2015-05-01,before,
May-15,Morris/Barchester Street,537731,181761,28.8,2015-05-01,before,
May-15,"Cascades, Westferry Road",537115,180074,32.9,2015-05-01,before,
May-15,Bonner Road,535356,183223,,2015-05-01,before,
May-15,Buckfast St/Bethnal Green Rd,534259,182580,35.3,2015-05-01,before,
May-15,Devons Road / Campbell Road ,537577,182232,41.7,2015-05-01,before,
May-15,Westferry Road/Limehouse Link jnct,537100,180791,35.1,2015-05-01,before,
May-15,Grove Rd/Old Ford Rd,535930,183385,34.8,2015-05-01,before,
May-15,Dolphin Lane,537539,180688,28.4,2015-05-01,before,
May-15,Brick Lane/Princelet St,533866,181860,,2015-05-01,before,
May-15,Hatfield Terrace/Fairfield Road,537356,183059,22.9,2015-05-01,before,
May-15,Fieldgate Street,534232,181584,49.5,2015-05-01,before,
May-15,Wrexham Road,537581,183208,31.4,2015-05-01,before,
May-15,Bow Common Lane/St Paul's Way,537248,181820,39.7,2015-05-01,before,
May-15,Wapping High St/Sampson St,534444,180122,29.9,2015-05-01,before,
May-15,TH Cemetery Park,536730,182363,19.0,2015-05-01,before,
May-15,Whitechapel Market,534516,181744,57.4,2015-05-01,before,
May-15,Bromley High Street/ St leonards,537868,182912,,2015-05-01,before,
May-15,Bow Rd /Glebe Terrace,537525,182887,52.5,2015-05-01,before,
May-15,Warner Place/Hackney Rd,534255,183130,35.0,2015-05-01,before,
May-15,Globe Rd/Mile End Rd,535295,182820,51.7,2015-05-01,before,
May-15,Bow Rd/Alfred St,537056,182773,28.3,2015-05-01,before,
May-15,Chrisp Street/E India Dock Road ,537940,181021,46.5,2015-05-01,before,
May-15,Dellow St/The Highway,534951,180779,68.7,2015-05-01,before,
May-15,Philpot St/Commercial Road,534816,181321,47.953,2015-05-01,before,
May-15,Seyssel Street,538545,178767,,2015-05-01,before,
May-15,Lawnhouse Close ,538191,179750,32.4,2015-05-01,before,
May-15,Millwall Park,538247,178689,,2015-05-01,before,
May-15,Wapping Wall/Garnet St,535132,180337,31.7,2015-05-01,before,
May-15,Sidney St/Mile End Rd,534968,181878,,2015-05-01,before,
May-15,Victoria Park,536494,184170,17.0,2015-05-01,before,
May-15,Prestons Road/ Coldharbour,538364,180188,,2015-05-01,before,
May-15,Manchester Road/East Ferry Road,538033,178360,,2015-05-01,before,
May-15,Brodlove Lane,535598,180816,43.0,2015-05-01,before,
May-15,Finnis St/Three Colts Lane,534783,182385,27.0,2015-05-01,before,
May-15,John Smith Mews,538742,180756,31.9,2015-05-01,before,
May-15,Limeharbour,537953,179357,31.4,2015-05-01,before,
May-15,Jubilee Street/Commercial Rd,535150,181279,51.0,2015-05-01,before,
May-15,Hale Street,537661,180768,25.4,2015-05-01,before,
May-15,Millwall Park,538259,178688,20.2,2015-05-01,before,
May-15,Paradise Row/Bethnal Green Rd,534959,182757,35.7,2015-05-01,before,
May-15,Cavell St/Stepney Way,534884,181667,36.7,2015-05-01,before,
May-15,Mast House Terrace,537348,178690,25.0,2015-05-01,before,
May-15,St Katherine's Way,533984,180373,31.9,2015-05-01,before,
May-15,Manchester Road/Ollife Street ,538432,179044,24.5,2015-05-01,before,
May-15,Ben Johnson Road,536080,181721,32.2,2015-05-01,before,
May-15,Blair Street (End of Street),538366,181180,44.8,2015-05-01,before,
May-15,Rich Street,536937,180987,,2015-05-01,before,
May-15,Rhodeswell Rd,536574,181338,25.8,2015-05-01,before,
May-15,Ford Close/Roman Rd,536457,183301,32.9,2015-05-01,before,
May-15,Rhondda Grove/Mile End Rd,536542,182589,,2015-05-01,before,
May-15,Portree Street,538895,181296,33.0,2015-05-01,before,
May-15,Whitechapel High St (KFC),533985,181426,63.8,2015-05-01,before,
May-15,Dod St/Burdett Rd,537026,181227,,2015-05-01,before,
May-15,Commercial St/Calvin St,533583,182066,,2015-05-01,before,
May-15,Devas Street /Devons road,537821,182332,,2015-05-01,before,
May-15,Wentworth Mews,536452,182454,32.6,2015-05-01,before,
May-15,Newport Avenue,538955,180872,30.2,2015-05-01,before,
May-15,Bethnal Green Rd/ Brick Lane,533860,182442,44.4,2015-05-01,before,
May-15,Ackroyd Drive,536767,181771,37.7,2015-05-01,before,
May-15,Thames Path Storers Quay,538730,178733,,2015-05-01,before,
May-15,Calvert Ave/Boundary Street,533507,182569,37.8,2015-05-01,before,
May-15,Harford St/Mile End Rd,536089,182258,32.4,2015-05-01,before,
May-15,Parnell Rd/Old Ford Rd,536874,183741,28.1,2015-05-01,before,
May-15,Fairfield Road/Tredegar Road ,537159,183415,31.4,2015-05-01,before,
May-15,Stepney Green,535545,181604,23.2,2015-05-01,before,
May-15,Sextant Avenue,538674,178887,,2015-05-01,before,
May-15,Locksley St/St Paul's Way,536702,181646,26.2,2015-05-01,before,
May-15,St Stephen's Rd/Tredegar Rd,536713,183070,25.1,2015-05-01,before,
May-15,Zetland Street/A12,538178,181747,49.6,2015-05-01,before,
May-15,Wick Lane/Autumn St,537304,183619,33.0,2015-05-01,before,
May-15,Watney Market,534938,181257,32.2,2015-05-01,before,
May-15,Mansell St,533801,180726,,2015-05-01,before,
May-15,Victoria Park,536494,184170,15.2,2015-05-01,before,
Jun-15,St Stephen's Rd/Tredegar Rd,536713,183070,34.8,2015-06-01,before,
Jun-15,Jubilee Street/Commercial Rd,535150,181279,,2015-06-01,before,
Jun-15,Harford St/Mile End Rd,536089,182258,30.9,2015-06-01,before,
Jun-15,Parnell Rd/Old Ford Rd,536874,183741,31.0,2015-06-01,before,
Jun-15,Dellow St/The Highway,534951,180779,58.6,2015-06-01,before,
Jun-15,Rhondda Grove/Mile End Rd,536542,182589,21.3,2015-06-01,before,
Jun-15,Limeharbour,537953,179357,32.2,2015-06-01,before,
Jun-15,Brodlove Lane,535598,180816,42.7,2015-06-01,before,
Jun-15,Millwall Park,538247,178689,,2015-06-01,before,
Jun-15,Millwall Park,538259,178688,,2015-06-01,before,
Jun-15,Ford Close/Roman Rd,536457,183301,34.1,2015-06-01,before,
Jun-15,Wapping Wall/Garnet St,535132,180337,27.3,2015-06-01,before,
Jun-15,Victoria Park,536494,184170,,2015-06-01,before,
Jun-15,Manchester Road/East Ferry Road,538033,178360,25.0,2015-06-01,before,
Jun-15,Fairfield Road/Tredegar Road ,537159,183415,,2015-06-01,before,
Jun-15,Mast House Terrace,537348,178690,24.3,2015-06-01,before,
Jun-15,Globe Rd/Mile End Rd,535295,182820,47.6,2015-06-01,before,
Jun-15,Stepney Green,535545,181604,,2015-06-01,before,
Jun-15,Bow Rd /Glebe Terrace,537525,182887,52.9,2015-06-01,before,
Jun-15,Wick Lane/Autumn St,537304,183619,34.9,2015-06-01,before,
Jun-15,Whitechapel Market,534516,181744,58.6,2015-06-01,before,
Jun-15,Seyssel Street,538545,178767,26.1,2015-06-01,before,
Jun-15,Watney Market,534938,181257,25.6,2015-06-01,before,
Jun-15,Fieldgate Street,534232,181584,56.9,2015-06-01,before,
Jun-15,Locksley St/St Paul's Way,536702,181646,15.6,2015-06-01,before,
Jun-15,Bow Common Lane/St Paul's Way,537248,181820,36.6,2015-06-01,before,
Jun-15,Rich Street,536937,180987,36.3,2015-06-01,before,
Jun-15,Dolphin Lane,537539,180688,25.9,2015-06-01,before,
Jun-15,Grove Rd/Old Ford Rd,535930,183385,37.1,2015-06-01,before,
Jun-15,Westferry Road/Limehouse Link jnct,537100,180791,36.1,2015-06-01,before,
Jun-15,Rhodeswell Rd,536574,181338,25.1,2015-06-01,before,
Jun-15,Bonner Road,535356,183223,32.9,2015-06-01,before,
Jun-15,Dod St/Burdett Rd,537026,181227,26.9,2015-06-01,before,
Jun-15,"Cascades, Westferry Road",537115,180074,,2015-06-01,before,
Jun-15,Hannibal Rd/Mile End Rd,535392,182010,43.5,2015-06-01,before,
Jun-15,Ben Johnson Road,536080,181721,,2015-06-01,before,
Jun-15,Bow Rd/Alfred St,537056,182773,31.4,2015-06-01,before,
Jun-15,Ackroyd Drive,536767,181771,37.6,2015-06-01,before,
Jun-15,Cavell St/Stepney Way,534884,181667,39.9,2015-06-01,before,
Jun-15,Wentworth Mews,536452,182454,43.8,2015-06-01,before,
Jun-15,TH Cemetery Park,536730,182363,21.9,2015-06-01,before,
Jun-15,Victoria Park,536494,184170,,2015-06-01,before,
Jun-15,Wrexham Road,537581,183208,,2015-06-01,before,
Jun-15,John Smith Mews,538742,180756,29.2,2015-06-01,before,
Jun-15,Devas Street /Devons road,537821,182332,33.7,2015-06-01,before,
Jun-15,Newport Avenue,538955,180872,23.0,2015-06-01,before,
Jun-15,Buckfast St/Bethnal Green Rd,534259,182580,38.0,2015-06-01,before,
Jun-15,Portree Street,538895,181296,35.0,2015-06-01,before,
Jun-15,Paradise Row/Bethnal Green Rd,534959,182757,43.1,2015-06-01,before,
Jun-15,Commercial St/Calvin St,533583,182066,63.5,2015-06-01,before,
Jun-15,Hale Street,537661,180768,,2015-06-01,before,
Jun-15,Wapping High St/Sampson St,534444,180122,27.7,2015-06-01,before,
Jun-15,Mansell St,533801,180726,77.0,2015-06-01,before,
Jun-15,Chrisp Street/E India Dock Road ,537940,181021,37.4,2015-06-01,before,
Jun-15,Blair Street (End of Street),538366,181180,37.8,2015-06-01,before,
Jun-15,Whitechapel High St (KFC),533985,181426,63.4,2015-06-01,before,
Jun-15,Morris/Barchester Street,537731,181761,25.0,2015-06-01,before,
Jun-15,Warner Place/Hackney Rd,534255,183130,36.0,2015-06-01,before,
Jun-15,Finnis St/Three Colts Lane,534783,182385,24.9,2015-06-01,before,
Jun-15,Bethnal Green Rd/ Brick Lane,533860,182442,44.2,2015-06-01,before,
Jun-15,Devons Road / Campbell Road ,537577,182232,38.9,2015-06-01,before,
Jun-15,Brick Lane/Princelet St,533866,181860,33.6,2015-06-01,before,
Jun-15,Manchester Road/Ollife Street ,538432,179044,27.7,2015-06-01,before,
Jun-15,Colombia Rd/Gossett Street,533883,182815,,2015-06-01,before,
Jun-15,Philpot St/Commercial Road,534816,181321,35.5,2015-06-01,before,
Jun-15,Hatfield Terrace/Fairfield Road,537356,183059,25.5,2015-06-01,before,
Jun-15,Sextant Avenue,538674,178887,,2015-06-01,before,
Jun-15,Lawnhouse Close ,538191,179750,32.2,2015-06-01,before,
Jun-15,Bromley High Street/ St leonards,537868,182912,26.4,2015-06-01,before,
